代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
601003	柳钢股份	2.28	3.14	0.07	3.14	3.15	236804	2389	-0.31	          0.92	3.07	3.17	3.06	3.07	--  	7394.96	  1.47	板材	广西	3.58	3.12	103364	133440	  0.77	0.00	1303	2529	--  	-37.89	          1.14	          0.13	75.01	0.00	   0.00	3386.03	2.27	0.00	0.07	--  	          0.00	--  	1.03	--  	--  	         25.63	         80.47亿	         80.47亿	  1.23	   2015	2	0.66	1.63	4.32	6.80	-3.68	18.49	-5.99	4.32	-0.95	1	    4.35亿	          5.44	         13.67亿	          1.79亿	--  	--  	1.06	1.62	MACD金叉	10	6	11	0.00	3.26	-0.33	1.63	-0.95	2.61	20241031	20070227	         25.63	--  	--  	641.56	84.89	        122.22	67.72	143.01	352.51	14.87	231.50	39.18	64.32	6.72	14.70	1.21	530.96	512.04	-5.61	0.00	-5.45	-5.45	-3.07	-3.40	36.20	1.47	-27.45	41945.00	         10380	3.26万	40.39	-6.86	          0.95	54.75	0.15	0.00	-0.120㈢	          3.31	          0.05	          1.41	          0.06	         13.23	  -3.62㈢	          3.56	         -1.06	         -1.03	10.15	14046	601003	--  	--  	--  	
601005	重庆钢铁	4.35	1.68	0.07	1.67	1.68	3818294	36597	0.00	          4.56	1.60	1.71	1.59	1.61	--  	63382.82	  1.95	板材	重庆	7.45	1.66	1783936	2034358	  0.88	0.00	46630	22462	--  	-29.15	          0.95	          0.13	614.83	0.00	   0.00	40227.23	538.82	0.00	1.34	--  	          0.06	--  	1.45	--  	--  	         83.80	        140.79亿	        140.89亿	  3.30	   4469	3	3.87	9.09	12.75	9.80	-4.00	63.11	15.86	12.75	20.86	5	   60.59亿	          6.30	        101.79亿	          6.24亿	--  	--  	1.21	5.66	MACD金叉	10	8	2	-0.62	6.21	-1.24	3.11	-1.75	5.66	20241031	20070228	         89.19	--  	          5.33	359.15	184.54	--  	48.62	51.43	251.29	26.97	161.65	25.43	16.93	0.11	19.90	192.82	205.98	216.79	-15.67	0.05	-15.92	-13.50	-13.50	-13.54	-103.19	10.90	6.19	162854.00	         37203	6.25万	-127.87	-31.37	          0.81	13.74	0.73	0.00	-0.150㈢	          2.07	          2.16	         -1.16	          0.12	         51.38	  -7.31㈢	         -5.25	         -7.61	         -6.55	0.31	5915	601005	--  	--  	--  	
601006	大秦铁路	0.87	6.94	0.06	6.93	6.94	620117	3263	0.14	          0.34	6.89	6.95	6.89	6.88	    11.05	42979.49	  0.88	铁路运输	山西	0.87	6.93	222003	398114	  0.56	0.00	2629	269	--  	-46.96	          0.73	          0.01	226.45	0.00	   0.00	33094.69	102.94	0.00	0.31	--  	          0.00	--  	0.63	--  	--  	        182.58	       1267.12亿	       1267.12亿	 -0.17	   4214	1	-0.72	0.57	1.91	4.05	2.81	16.25	2.97	1.91	3.58	0	   79.32亿	          0.78	        550.49亿	         10.95亿	13.45	10.62	0.50	0.73	多头排列	8	2	8	0.15	1.02	0.15	0.73	-0.14	0.73	20241030	20060801	        182.58	--  	--  	2097.75	1550.70	        155.89	18.65	814.14	843.33	105.58	148.36	631.59	19.44	55.96	26.98	427.99	552.14	443.10	123.18	21.73	122.77	95.18	86.03	85.72	723.16	45.66	-41.65	188398.00	         42103	29.22万	-22.57	-9.18	          0.82	27.75	2.29	7.33	0.500㈢	          8.43	          2.34	          3.96	          0.25	         73.92	   5.55㈢	         19.75	         22.31	         17.24	0.00	89607	601006	--  	--  	--  	
601007	金陵饭店	2.60	7.51	0.19	7.50	7.51	142907	1601	0.13	          3.66	7.30	7.62	7.26	7.32	    52.53	10656.48	  1.19	酒店	江苏	4.92	7.46	61422	81485	  0.75	0.00	1155	1860	--  	-33.89	          1.03	          0.14	120.24	0.00	   0.00	5785.11	34.75	0.27	0.60	--  	          0.02	--  	0.48	--  	--  	          3.90	         29.29亿	         29.29亿	  1.55	   2298	2	0.14	1.91	3.30	11.26	4.74	21.92	-12.67	3.30	-5.65	0	    2.20亿	          6.49	         16.55亿	          0.74亿	63.58	49.20	0.92	1.76	多头排列	14	8	11	-0.27	4.10	-0.82	1.91	-1.44	3.44	20241031	20070406	          3.90	--  	--  	37.23	15.85	          7.96	36.04	14.99	9.86	3.12	10.10	2.90	6.15	0.76	0.72	3.30	13.88	10.25	1.01	0.06	1.01	0.73	0.42	0.35	7.41	0.55	0.30	30122.00	          7315	5.49万	-24.36	2.60	          1.85	52.79	2.11	1.60	0.110㈢	          4.06	          0.85	          1.90	          0.14	         42.56	   2.64㈢	         26.15	          7.30	          5.27	0.02	1614	601007	--  	--  	--  	
601008	连云港	1.72	4.13	0.07	4.12	4.13	188983	6355	0.00	          1.52	4.06	4.13	4.05	4.06	    26.82	7757.24	  1.11	港口	江苏	1.97	4.10	68699	120284	  0.57	0.00	1773	3965	--  	-43.66	          1.93	          0.15	262.46	0.00	   0.00	4239.44	8.69	0.00	0.20	--  	          0.00	--  	1.10	--  	--  	         12.41	         51.24亿	         51.24亿	  0.68	   2250	2	0.25	-0.00	2.48	4.82	0.49	24.77	-2.59	2.48	3.25	0	    5.12亿	          3.69	         21.13亿	          0.87亿	26.92	27.17	0.88	0.73	多头排列	10	8	11	0.00	1.72	-0.25	0.99	0.00	1.98	20241030	20070426	         12.41	--  	--  	127.81	40.42	         15.37	56.34	39.57	63.48	0.69	47.71	20.15	0.17	2.21	0.39	21.08	19.37	14.56	2.70	0.70	2.70	2.11	1.43	1.23	5.20	7.21	4.02	61547.00	          8313	3.43万	1.25	3.36	          1.27	7.11	2.65	1.21	0.120㈢	          3.26	          1.70	          0.42	          0.58	         31.63	   3.54㈢	         24.81	         13.96	         10.91	0.03	2608	601008	--  	--  	--  	
601009	南京银行	0.09	10.58	0.01	10.58	10.59	413936	2971	-0.08	          0.43	10.60	10.66	10.54	10.57	     5.12	43882.71	  0.85	城商行	江苏	1.14	10.60	203021	210915	  0.96	0.00	667	4414	--  	14.87	          1.15	          0.02	314.40	0.00	   0.00	31934.17	49.82	0.19	0.16	--  	          0.00	--  	0.43	--  	--  	         96.31	       1018.93亿	       1138.60亿	 -0.95	   3987	1	-0.38	-0.48	0.09	3.32	3.83	7.96	68.47	0.09	62.77	0	   49.81亿	          0.83	        526.94亿	          1.08亿	5.73	6.15	0.65	0.09	KDJ死叉	14	12	8	0.28	0.85	-0.28	0.28	-0.75	0.38	20241109	20070719	        107.62	--  	--  	25470.38	1791.78	         33.48	92.83	0.00	78.19	10.78	0.00	1533.41	0.00	0.00	--  	276.65	385.58	181.26	204.32	105.71	204.03	167.72	166.63	164.86	716.70	-745.59	214.60	73459.00	         67800	71.73万	9.02	8.03	          0.74	-1.53	2.95	8.13	1.590㈢	         14.23	          2.57	          6.66	         -6.93	          7.03	   9.30㈢	         52.99	         52.99	         43.50	--  	16260	601009	--  	--  	--  	
601010	文峰股份	9.89	3.00	0.27	3.00	--  	317083	1749	0.00	          1.72	3.00	3.00	3.00	2.73	    59.94	9512.48	  0.57	百货	江苏	0.00	3.00	242075	75008	  3.23	0.00	253888	0	--  	0.00	          0.31	          0.02	52.47	0.00	   0.00	26764.63	4448.08	0.00	16.62	114.14	          1.44	--  	62.51	0.80	7616.64	         18.48	         55.44亿	         55.44亿	  8.84	   1130	3	10.08	22.95	28.21	35.75	27.66	80.72	21.46	28.21	27.66	2	   10.28亿	          3.08	         30.85亿	          4.99亿	48.00	32.50	1.03	14.50	-- -- 	8	8	3	9.89	9.89	9.89	9.89	0.00	0.00	20241031	20110603	         18.48	--  	--  	62.67	43.48	         -0.07	30.74	13.45	29.48	5.32	17.79	7.87	3.15	0.39	8.42	8.21	13.89	7.32	1.19	0.05	1.20	0.69	0.69	0.65	12.97	0.74	-3.15	90149.00	         11406	3.42万	-44.26	-14.39	          1.27	74.85	3.99	2.83	0.040㈢	          2.35	          0.44	          0.70	          0.04	         69.37	   1.60㈢	         47.30	          8.59	          4.97	--  	2671	601010	--  	--  	--  	
601011	宝泰隆	1.79	3.42	0.06	3.41	3.42	4744010	48758	-0.86	         24.76	3.60	3.70	3.36	3.36	--  	169241.98	  2.95	焦炭加工	黑龙江	10.12	3.57	2374280	2369730	  1.00	0.00	5026	10425	--  	2.70	          1.14	          0.85	1667.52	0.00	   0.00	118844.65	8204.83	0.00	6.90	154.13	          1.73	--  	0.98	--  	--  	         19.16	         65.52亿	         65.52亿	  0.74	   4686	5	10.16	23.47	27.14	31.54	23.91	107.27	-5.79	27.14	-2.29	7	   13.20亿	         35.94	         45.15亿	          1.15亿	--  	--  	1.38	11.40	价量齐升	8	6	13	7.14	10.12	0.00	6.25	-7.57	1.79	20241026	20110309	         19.16	--  	--  	121.41	59.20	          4.91	47.20	9.70	14.29	18.60	47.18	1.42	3.39	0.50	2.60	41.73	11.28	11.96	-3.58	-0.06	-3.61	-2.92	-2.73	-2.72	-3.90	3.14	-1.12	81696.00	         16159	5.53万	-1125.28	-56.05	          1.11	20.84	5.81	0.00	-0.140㈢	          3.09	          2.18	         -0.20	          0.16	         48.76	  -4.61㈢	         -6.06	        -31.73	        -25.92	0.11	2362	601011	--  	--  	--  	
601012	隆基绿能	-0.50	17.85	-0.09	17.84	17.85	1070963	11149	0.00	          1.41	17.95	17.96	17.38	17.94	--  	189665.06	  1.35	光伏电池组件	陕西	3.23	17.71	501282	569681	  0.88	0.00	5339	505	--  	13.90	          1.07	          0.04	1990.07	0.00	   0.00	93158.23	383.95	0.00	0.41	--  	          0.00	--  	0.59	--  	--  	         75.78	       1352.68亿	       1352.68亿	 -1.55	   4719	-1	0.06	-3.41	-3.51	0.56	-7.18	30.58	-14.72	-3.51	-21.47	3	   55.54亿	          1.93	        991.33亿	         -6.82亿	--  	12.58	1.55	-1.54	空头排列	10	6	11	0.06	0.11	-3.12	-1.28	-0.61	2.70	20241114	20120411	         75.78	--  	--  	1551.92	628.16	          5.09	59.20	914.80	382.62	10.65	629.54	511.10	192.15	106.71	74.60	129.62	585.93	539.18	-74.61	-3.57	-78.27	-65.36	-65.05	-64.88	381.67	-83.67	-55.85	884011.00	          6282	11.21万	-155.62	-37.73	          2.17	-16.17	2.31	0.95	-0.860㈢	          8.22	          1.71	          5.04	         -1.10	         40.48	 -10.35㈢	          7.98	        -12.73	        -11.16	13.46	75066	601012	--  	--  	--  	
601015	陕西黑猫	1.09	3.72	0.04	3.72	3.73	330341	3113	-0.26	          1.62	3.67	3.73	3.63	3.68	--  	12230.81	  1.38	焦炭加工	陕西	2.72	3.70	150012	180329	  0.83	0.00	1040	23420	--  	-63.08	          0.88	          0.08	115.80	0.00	   0.00	11758.80	50.24	0.00	0.43	--  	          0.02	--  	2.12	--  	--  	         20.42	         75.98亿	         75.98亿	  0.04	   3266	2	2.79	3.05	7.83	9.09	-1.59	37.27	-18.60	7.83	-16.96	2	    7.76亿	          4.26	         28.86亿	          0.82亿	--  	--  	1.37	2.20	-- -- 	12	8	11	-0.27	1.36	-1.36	0.54	-0.27	2.48	20241031	20141105	         20.42	--  	--  	207.13	69.95	         20.48	56.34	31.63	116.20	23.44	89.63	12.44	11.91	2.25	5.45	35.44	114.20	116.61	-7.95	1.77	-8.09	-8.08	-6.42	-6.71	10.01	-0.40	1.43	93704.00	          8280	3.08万	-143.08	-17.63	          1.09	-190.21	0.67	0.00	-0.310㈢	          3.42	          1.74	          0.49	         -0.02	         33.77	  -9.18㈢	         -2.11	         -6.96	         -7.08	--  	8775	601015	--  	--  	--  	
