代码,名称,细分行业,当前价格,市盈率(TTM),净资产收益率(%),股息率(%),涨跌位,beta系数,流通市值,总市值
605077,华康股份,制糖业,14.72,16.03,5.95,3.61,2.523076923076924,1.12,24.82亿,45.03亿
600731,湖南海利,农药,6.07,14.89,6.48,3.26,21.56640181611805,0.81,25.90亿,33.92亿
001333,光华股份,其他化学制品,17.95,21.23,5.88,1.99,14.097061736546715,0.58,7.90亿,22.98亿
605028,世茂能源,热力服务,17.01,16.22,9.37,3.48,24.47800977343404,1.11,6.80亿,27.22亿
605162,新中港,热力服务,7.18,19.04,7.03,2.47,17.499999999999996,0.91,7.29亿,28.76亿
603230,内蒙新华,大众出版,13.28,17.00,10.91,3.33,22.949816401468784,0.93,11.87亿,46.95亿
603970,中农立华,农药,15.10,18.94,11.73,2.93,13.430059523809524,1.09,16.36亿,40.59亿
603639,海利尔,农药,12.82,19.60,5.69,3.82,13.145780051150895,1.04,15.39亿,43.59亿
605337,李子园,乳制品,12.20,23.96,9.41,3.94,6.732550957381099,1.20,19.02亿,48.12亿
603215,比依股份,厨房小家电,16.00,24.22,8.98,2.26,25.648252536640364,0.87,11.37亿,30.17亿
603208,江山欧派,家具,19.16,13.32,11.92,8.97,3.369402656813583,1.17,12.90亿,33.95亿
605060,联德股份,机械基础件,15.86,20.57,6.41,2.11,23.214285714285715,1.15,13.04亿,38.25亿
603213,镇洋发展,氯碱,10.05,19.39,7.86,2.60,13.797264682220437,0.91,10.46亿,43.70亿
