代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000001	平安银行	1.02	11.85	0.12	11.84	11.85	986235	20604	0.17	          0.51	11.73	11.87	11.71	11.73	     4.34	116406.25	  0.76	股份制银行	深圳	1.36	11.80	370950	615285	  0.60	0.00	140	29509	--  	-58.06	          1.74	          0.04	2441.57	0.00	   0.00	113837.41	385.45	0.00	0.34	--  	          0.00	--  	0.44	--  	--  	        194.06	       2299.57亿	       2299.60亿	  0.02	   4451	1	-0.51	1.54	3.58	4.50	2.69	22.79	41.41	4.13	40.57	1	   81.60亿	          1.21	        967.02亿	         23.29亿	4.89	4.90	0.62	0.94	平台整理	10	12	12	0.00	1.19	-0.17	0.60	-0.17	1.20	20241019	19910403	        194.06	--  	--  	57459.88	4904.69	--  	91.46	0.00	87.53	61.53	0.00	4048.80	0.00	0.00	--  	807.15	1115.82	637.13	478.69	183.72	477.44	397.29	397.29	397.48	2398.99	1371.58	-189.13	517695.00	         15763	18.68万	0.24	-12.58	          0.55	1.68	2.06	8.23	1.940㈢	         21.67	          4.16	         12.36	          7.07	          8.54	   8.10㈢	         42.90	         42.90	         35.61	--  	40830	000001	--  	--  	--  	
000002	万 科Ａ	0.46	8.69	0.04	8.69	8.70	1289042	20963	0.12	          1.33	8.63	8.72	8.55	8.65	--  	111437.02	  0.82	住宅开发	深圳	1.97	8.64	557693	731349	  0.76	0.00	6499	30637	--  	-37.35	          2.09	          0.08	1821.68	0.00	   0.00	121910.60	377.30	0.00	0.31	--  	          0.01	--  	0.23	--  	--  	         97.17	        844.40亿	        845.03亿	 -0.54	   4569	3	0.82	3.21	2.00	2.47	-2.90	37.93	-18.25	1.05	-16.92	5	   64.74亿	          1.99	        562.60亿	          4.77亿	--  	8.48	0.92	1.05	MACD金叉	1	10	13	-0.23	0.81	-1.16	-0.12	-0.34	1.64	20241031	19910129	        119.31	--  	         22.07	13571.80	2341.20	       1402.39	72.42	10162.76	205.43	83.76	7508.32	797.45	5793.35	98.07	2497.10	254.71	2198.95	1990.00	-146.67	0.74	-154.40	-163.98	-179.43	-144.68	756.73	-48.48	-196.22	627280.00	         10321	8.97万	-231.73	-24.25	          0.44	-21.39	0.47	0.00	-1.510㈢	         19.62	          2.13	          6.34	         -0.41	         17.25	  -7.66㈢	          9.50	         -6.67	         -7.46	3.69	131097	000002	--  	--  	--  	
000004	国华网安	9.99	20.03	1.82	20.03	--  	143055	136	0.00	         11.33	18.35	20.03	18.30	18.21	--  	28329.17	  2.54	基础软件	深圳	9.50	19.80	100206	42849	  2.34	0.00	41825	0	--  	0.00	          0.17	          0.06	27.24	0.00	   0.00	7536.72	86.61	0.00	1.15	--  	          0.05	--  	2.50	0.29	8377.55	          1.26	         25.30亿	         26.52亿	  8.99	   1851	2	0.17	9.88	9.39	11.96	6.60	64.58	15.91	10.36	24.18	21	    0.87亿	         16.49	         17.38亿	          2.41亿	--  	--  	0.84	7.51	-- -- 	10	10	2	0.77	9.99	0.49	8.73	0.00	9.45	20241204	19910114	          1.32	--  	--  	3.85	1.60	         -0.03	59.25	2.87	0.02	0.13	2.01	0.64	0.02	1.72	0.44	12.32	0.76	0.21	-0.37	0.00	-0.41	-0.37	-0.36	-0.33	-12.18	-0.24	-0.30	43880.00	          1978	3.96万	-1.78	-5.78	         16.59	-111.32	34.94	0.00	-0.270㈢	          1.21	          9.31	         -9.20	         -0.18	         41.54	 -22.43㈢	         72.96	        -48.81	        -49.25	0.23	298	000004	--  	--  	--  	
000006	深振业Ａ	0.88	9.20	0.08	9.19	9.20	387445	9846	0.22	          2.87	9.00	9.25	8.92	9.12	--  	35198.48	  0.76	住宅开发	深圳	3.62	9.08	176527	210918	  0.84	0.00	567	3118	--  	-33.44	          2.16	          0.20	905.83	0.00	   0.00	37778.32	290.25	0.00	0.77	--  	          0.04	--  	1.97	--  	--  	         13.50	        124.20亿	        124.20亿	 -0.12	   3383	2	1.45	2.34	2.00	4.07	6.49	120.63	93.68	3.49	100.43	10	    8.51亿	          4.55	         78.26亿	          1.08亿	--  	--  	0.66	0.44	-- -- 	10	8	6	-1.32	1.43	-2.19	-0.44	-0.54	3.14	20241031	19920427	         13.50	--  	--  	208.89	64.49	          3.61	67.40	166.86	0.62	0.00	86.47	26.58	129.41	0.48	21.42	4.84	48.28	44.58	-6.24	0.71	-6.23	-6.32	-5.24	-5.25	24.36	1.08	-12.71	68571.00	         12405	11.41万	-42613.00	482.14	          1.93	114.97	2.57	0.00	-0.390㈢	          4.78	          0.36	          1.80	          0.08	         30.87	  -8.12㈢	          7.66	        -12.93	        -13.10	--  	416	000006	--  	--  	--  	
000007	全新好	2.98	7.60	0.22	7.59	7.60	119142	3183	0.40	          3.44	7.44	7.63	7.28	7.38	   621.77	8900.37	  1.33	商业物业经营	深圳	4.74	7.47	50128	69014	  0.73	0.00	298	1576	--  	-37.33	          2.92	          0.33	241.91	0.00	   0.00	5452.99	25.89	1.50	0.47	--  	          0.02	--  	0.28	--  	--  	          3.46	         26.33亿	         26.33亿	  1.98	   2077	2	2.64	4.54	6.00	7.35	2.01	59.66	52.92	4.68	56.06	12	    2.13亿	          5.60	         16.17亿	          0.76亿	90.35	71.08	0.73	3.83	KDJ金叉	1	12	3	0.81	3.39	-1.36	1.22	-0.39	4.40	20241120	19920413	          3.46	--  	--  	3.32	1.29	          0.11	57.96	2.14	0.46	0.00	1.26	1.13	0.37	0.17	0.02	1.57	1.54	1.25	0.05	0.00	0.04	0.02	0.03	0.04	-3.17	0.21	-0.81	10917.00	         19489	14.81万	-70.72	0.60	         20.43	127.92	17.07	0.00	0.010㈢	          0.37	          0.45	         -0.91	          0.06	         38.81	   2.46㈢	         18.97	          3.56	          1.06	--  	74	000007	--  	--  	--  	
000008	神州高铁	-1.82	3.23	-0.06	3.23	3.24	1907170	18988	-0.30	          7.10	3.29	3.31	3.18	3.29	--  	61528.74	  0.53	轨交设备	北京	3.95	3.23	1095453	811717	  1.35	0.00	2575	9719	--  	43.32	          1.48	          0.36	613.31	0.00	   0.00	85046.41	452.01	0.00	0.53	--  	          0.08	--  	0.53	--  	--  	         26.86	         86.76亿	         87.74亿	 -2.83	   4597	-1	2.17	-4.16	-12.94	29.20	23.28	53.81	31.84	27.67	36.87	10	   16.24亿	         11.75	         52.44亿	         -1.63亿	--  	--  	0.78	-4.15	阶段放量	6	6	6	0.00	0.61	-3.34	-1.82	-2.42	1.57	20241203	19920507	         27.16	--  	--  	104.20	33.77	          0.82	66.81	46.68	4.70	1.75	62.15	5.86	8.85	20.12	10.63	26.20	10.90	7.76	-2.25	0.50	-1.94	-2.01	-1.80	-2.10	-20.43	-1.23	0.86	91817.00	         17683	5.71万	-23.69	-16.71	          2.60	-71.36	8.05	0.00	-0.070㈢	          1.24	          0.96	         -0.75	         -0.05	         32.41	  -5.33㈢	         28.82	        -20.66	        -18.45	1.01	2160	000008	--  	--  	--  	
000009	中国宝安	0.30	9.95	0.03	9.94	9.95	180907	4102	0.10	          0.71	9.92	9.98	9.83	9.92	    49.94	17949.29	  0.85	电池化学品	深圳	1.51	9.92	83540	97367	  0.86	0.00	918	2312	--  	-31.55	          1.61	          0.04	408.15	0.00	   0.00	17898.11	34.82	0.00	0.19	--  	          0.00	--  	1.06	--  	--  	         25.51	        253.87亿	        256.63亿	 -0.70	   3351	3	0.71	1.43	0.91	1.01	-1.68	30.23	-16.39	0.91	-14.95	3	   15.30亿	          1.18	        152.27亿	          0.77亿	55.22	33.82	0.93	0.61	-- -- 	10	2	9	0.00	0.60	-0.91	0.00	-0.30	1.22	20241126	19910625	         25.79	--  	--  	525.43	101.48	        113.76	59.04	300.83	116.13	18.06	156.03	81.24	110.50	51.15	6.93	14.89	146.36	106.41	11.89	-0.17	11.96	9.17	3.85	2.38	57.50	5.59	-16.22	171013.00	          8949	8.90万	-43.20	-40.28	          2.53	45.87	1.75	0.45	0.150㈢	          3.93	          0.58	          2.23	          0.22	         19.31	   3.80㈢	         27.29	          8.12	          6.26	6.10	16595	000009	--  	--  	--  	
000010	美丽生态	-0.58	3.40	-0.02	3.40	3.41	524858	4651	0.00	          9.98	3.44	3.46	3.37	3.42	--  	17904.31	  0.72	园林工程	深圳	2.63	3.41	280317	244541	  1.15	0.00	5404	9497	--  	-3.52	          1.00	          0.23	158.13	0.00	   0.00	26609.20	75.89	0.58	0.29	--  	          0.05	--  	0.91	--  	--  	          5.26	         17.88亿	         39.09亿	 -1.59	   3525	-1	2.09	2.41	7.60	15.25	15.25	96.53	3.66	12.21	6.92	9	    4.74亿	         11.08	         16.11亿	         -0.23亿	--  	--  	0.85	1.19	-- -- 	8	8	2	0.58	1.17	-1.46	-0.29	-1.73	0.89	20241031	19951027	         11.50	--  	--  	30.54	2.19	         -0.16	93.35	22.30	0.08	0.02	28.21	0.10	1.02	15.78	1.31	20.85	3.54	2.95	-0.86	0.00	-0.93	-0.89	-0.59	-0.53	-28.88	-0.17	-0.20	42981.00	         11022	3.75万	63.17	44.10	         17.89	-236.51	11.05	0.00	-0.060㈢	          0.19	          1.81	         -2.51	         -0.01	          7.16	 -27.17㈢	         16.57	        -24.43	        -25.26	--  	145	000010	--  	--  	--  	
000011	深物业A	1.73	10.02	0.17	10.01	10.02	135611	1495	0.00	          2.58	9.83	10.10	9.74	9.85	  1250.71	13516.31	  1.14	物业管理	深圳	3.65	9.97	61375	74236	  0.83	0.00	151	965	--  	-65.31	          1.01	          0.15	149.80	0.00	   0.00	12536.83	56.03	-0.19	0.45	--  	          0.03	--  	0.42	--  	--  	          5.26	         52.75亿	         59.72亿	  0.72	   2363	3	0.61	5.25	1.93	0.51	3.62	33.42	12.97	3.73	17.19	3	    1.87亿	          7.25	         18.74亿	          1.01亿	24.85	12.65	0.66	2.14	-- -- 	10	8	2	-0.20	2.54	-1.12	1.22	-0.79	2.87	20241031	19920330	          5.96	          0.68	--  	161.17	44.79	          0.32	72.01	142.51	0.55	0.01	94.00	11.71	117.32	5.73	8.49	0.80	13.18	10.51	-0.00	0.00	-0.04	-0.06	0.04	0.08	36.90	-17.53	-15.70	40688.00	          6258	6.27万	-98.45	-45.71	          1.33	-3.41	4.53	3.17	0.010㈢	          7.51	          0.14	          6.19	         -2.94	         27.79	   0.08㈢	         20.24	         -0.01	         -0.43	0.04	8817	000011	--  	--  	--  	
000012	南 玻Ａ	1.77	5.74	0.10	5.74	5.75	434182	3431	0.00	          2.22	5.64	5.76	5.58	5.64	    16.81	24775.64	  2.12	玻璃制造	深圳	3.19	5.71	159093	275089	  0.58	0.00	374	6948	--  	-67.32	          0.83	          0.06	196.94	0.00	   0.00	12195.78	58.94	0.00	0.48	--  	          0.01	--  	0.86	--  	--  	         19.59	        112.46亿	        176.26亿	  0.77	   3327	2	0.71	2.50	3.24	4.17	4.94	22.13	7.49	4.37	7.90	0	   12.91亿	          3.36	         74.09亿	          3.07亿	17.76	10.46	0.62	1.77	平台整理	1	10	11	0.00	2.13	-1.06	1.24	-0.35	2.87	20241209	19920228	         30.71	         11.09	--  	319.10	140.71	          4.72	54.42	97.05	135.31	23.93	97.49	31.11	19.33	18.18	3.76	5.91	118.37	95.79	8.08	-0.04	8.06	7.73	7.86	7.01	88.25	13.53	-0.04	142015.00	         16900	9.70万	-46.38	-12.19	          1.25	13.03	1.49	4.43	0.260㈢	          4.58	          0.19	          2.87	          0.44	         44.10	   5.59㈢	         19.07	          6.82	          6.53	4.92	14661	000012	--  	--  	--  	
