代码	名称(800)	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
600570	恒生电子	-1.03	29.81	-0.31	29.81	29.82	334063	3220	-0.02	          1.76	30.12	30.23	29.63	30.12	    95.05	99654.78	  0.49	行业应用软件	浙江	1.99	29.83	176852	157211	  1.12	0.00	640	90	--  	29.08	          1.09	          0.05	959.83	0.00	   0.00	192210.68	1333.50	0.00	0.69	--  	          0.03	--  	0.73	--  	--  	         18.94	        564.64亿	        564.64亿	 -0.87	   4505	-2	-5.25	-3.27	-4.67	-4.88	1.74	84.02	2.06	-2.84	4.12	5	   15.00亿	          2.23	        447.27亿	         -5.87亿	45.17	40.06	1.15	-3.47	-- -- 	10	8	11	0.00	0.37	-1.63	-0.96	-1.39	0.61	20241031	20031216	         18.94	--  	--  	134.14	82.18	          7.68	33.01	43.92	14.86	8.86	41.19	8.28	6.74	12.78	22.68	5.28	41.88	12.85	4.55	1.25	4.56	4.47	4.46	2.67	53.48	-9.91	-15.86	152087.00	          9865	29.41万	-26.57	-4.12	          6.87	-57.00	13.48	0.43	0.240㈢	          4.34	          0.28	          2.82	         -0.52	         61.27	   5.42㈢	         69.31	         10.86	         10.68	16.85	12700	600570	--  	--  	--  	
600584	长电科技	-0.42	37.84	-0.16	37.84	37.85	346383	3135	0.11	          1.94	38.01	38.57	37.65	38.00	    47.18	131778.33	  0.88	半导体封测	江苏	2.42	38.04	174547	171836	  1.02	0.00	42	328	--  	-2.58	          0.95	          0.05	1186.29	0.00	   0.00	157353.59	724.47	0.00	0.46	--  	          0.01	--  	0.83	--  	--  	         17.89	        677.11亿	        677.11亿	 -0.26	   4630	-2	-1.50	-1.61	-2.04	-5.85	-7.16	30.21	27.54	-2.92	27.15	2	   13.24亿	          2.62	        500.88亿	         -2.86亿	43.22	46.23	1.00	-1.18	空头排列	10	8	12	0.03	1.50	-0.92	0.11	-1.89	0.50	20241025	20030603	         17.89	--  	--  	536.19	268.24	         16.56	46.89	227.18	214.31	7.45	156.11	92.57	47.40	59.16	3.16	152.30	249.78	217.48	11.74	-0.14	11.72	10.71	10.76	10.21	91.37	39.34	19.74	223079.00	          5934	22.45万	10.55	22.26	          2.52	17.21	2.71	0.26	0.600㈢	         14.99	          8.51	          5.11	          2.20	         50.03	   4.01㈢	         12.93	          4.70	          4.29	12.32	19812	600584	--  	--  	--  	
600585	海螺水泥	-5.13	24.77	-1.34	24.76	24.77	402525	1449	0.08	          1.01	26.01	26.06	24.70	26.11	    18.94	100933.05	  1.89	水泥制造	安徽	5.21	25.07	243067	159458	  1.52	0.00	903	65	--  	85.52	          0.70	          0.03	358.92	0.00	   0.00	65273.73	105.08	0.00	0.16	--  	          0.00	--  	0.63	--  	--  	         40.00	        990.73亿	        990.73亿	 -4.97	   4656	-1	0.04	-3.43	-2.86	-3.40	-6.03	22.86	20.25	-3.47	14.68	0	   20.71亿	          1.94	        512.95亿	        -71.01亿	19.89	13.27	0.94	-3.51	MACD金叉	1	14	2	-0.38	-0.19	-5.40	-3.94	-4.95	0.28	20241030	20020207	         52.99	--  	         13.00	2520.91	1854.99	        124.88	21.46	1052.45	881.52	325.88	285.53	750.25	89.01	38.32	35.65	106.13	681.50	548.33	63.91	2.74	68.02	52.45	51.98	48.79	1691.37	103.48	63.91	253137.00	          8181	20.26万	-40.05	-31.27	          0.71	12.69	1.93	3.66	0.990㈢	         35.00	          2.00	         31.92	          1.95	         73.58	   2.80㈢	         19.54	          9.38	          7.70	8.65	50024	600585	--  	--  	--  	
600588	用友网络	-1.65	11.92	-0.20	11.92	11.93	291867	3120	-0.16	          0.85	12.11	12.14	11.82	12.12	--  	34940.43	  0.65	云软件服务	北京	2.64	11.97	160764	131103	  1.23	0.00	558	286	--  	-34.40	          1.03	          0.04	371.90	0.00	   0.00	44190.86	92.28	0.00	0.21	--  	          0.00	--  	0.66	--  	--  	         34.17	        407.31亿	        407.31亿	 -1.49	   4189	-4	-2.88	-4.94	-5.85	-9.83	-1.73	37.01	-33.81	-9.83	-32.99	3	   17.87亿	          1.63	        213.07亿	         -6.83亿	--  	--  	1.39	-3.64	-- -- 	10	10	11	-0.08	0.17	-2.48	-1.24	-1.81	0.85	20241031	20010518	         34.17	--  	--  	234.60	87.35	         15.37	56.21	100.65	22.01	31.42	108.45	36.07	6.90	27.24	26.54	54.12	57.38	29.36	-14.76	0.10	-14.82	-14.80	-14.55	-14.84	-5.82	-20.46	-41.40	141153.00	         12663	15.09万	-41.24	0.53	          4.66	-19.91	7.10	0.00	-0.440㈢	          2.56	          1.58	         -0.17	         -0.60	         37.23	 -16.66㈢	         48.83	        -25.72	        -25.79	15.63	22658	600588	--  	--  	--  	
600600	青岛啤酒	-1.27	78.00	-1.00	78.00	78.07	85753	388	0.03	          1.21	79.00	80.62	77.61	79.00	    15.99	67639.33	  0.88	啤酒	山东	3.81	78.88	47312	38441	  1.23	0.00	180	1	--  	85.79	          0.80	          0.05	302.64	0.00	   0.00	97165.73	129.56	0.00	0.13	--  	          0.01	--  	0.36	--  	--  	          7.09	        553.04亿	        553.12亿	 -1.10	   4218	-2	-1.14	1.35	6.15	6.79	8.55	40.59	13.87	6.88	7.22	1	    3.04亿	          2.82	        237.04亿	        -13.64亿	24.77	25.25	1.30	0.49	-- -- 	8	2	11	0.00	2.05	-1.76	-0.15	-3.25	0.50	20241030	19930827	         13.64	--  	          6.55	503.71	297.97	          8.75	39.11	291.20	112.13	26.57	155.95	216.77	20.26	1.56	54.44	42.21	289.59	168.65	67.28	0.84	67.31	51.30	49.90	46.86	225.96	62.31	-40.74	77081.00	          3943	30.75万	1.67	-6.52	          3.57	17.08	3.67	2.53	3.670㈢	         21.84	          3.09	         16.56	          4.57	         59.16	  16.75㈢	         41.76	         23.23	         17.72	0.57	30687	600600	--  	--  	--  	
600660	福耀玻璃	-0.88	57.33	-0.51	57.33	57.35	98296	984	-0.13	          0.49	57.67	58.56	57.25	57.84	    20.48	56858.64	  0.86	车身附件及饰件	福建	2.26	57.84	50765	47531	  1.07	0.00	27	1	--  	85.24	          0.75	          0.01	563.99	0.00	   0.00	63745.95	94.58	0.02	0.15	--  	          0.00	--  	1.07	--  	--  	         20.03	       1148.31亿	       1148.31亿	 -0.72	   4400	-2	-0.75	-0.03	1.75	1.18	1.11	18.79	56.51	2.38	58.86	1	   14.19亿	          0.69	        813.41亿	        -13.31亿	21.62	26.81	0.50	-0.26	平台整理	1	10	10	-0.29	1.24	-1.02	0.00	-2.10	0.14	20241018	19930610	         26.10	--  	          6.07	613.34	333.96	         -0.11	45.57	360.90	159.95	15.12	178.04	197.61	60.02	72.11	11.60	97.01	283.14	176.07	64.95	-2.22	64.64	54.83	54.79	55.51	170.93	62.84	-7.31	102850.00	         13795	79.09万	32.79	18.84	          4.48	23.81	5.28	1.73	2.100㈢	         12.80	          3.72	          6.55	          2.41	         54.45	  16.41㈢	         37.82	         22.94	         19.37	12.15	34182	600660	--  	--  	--  	
600674	川投能源	3.27	17.35	0.55	17.34	17.35	646834	6522	0.00	          1.33	16.80	17.36	16.80	16.80	    14.34	110954.70	  2.11	水力发电	四川	3.33	17.15	237720	409114	  0.58	0.00	1186	537	--  	-66.99	          1.01	          0.08	1131.56	0.00	   0.00	49261.78	136.08	0.00	0.28	--  	          0.00	--  	0.83	--  	--  	         48.75	        845.74亿	        845.74亿	  3.44	   4568	1	-0.59	2.73	1.82	1.76	2.90	1.70	20.90	5.28	17.87	0	   16.49亿	          3.92	        286.10亿	         26.81亿	16.44	18.61	0.39	2.18	平台整理	1	9	10	0.00	3.33	0.00	2.08	-0.06	3.27	20241015	19930924	         48.75	--  	--  	645.41	420.67	         17.10	32.17	46.25	64.92	4.99	49.98	9.00	0.96	7.36	0.18	81.11	10.87	5.14	45.58	45.05	45.60	45.04	44.22	43.92	187.77	6.56	3.90	40484.00	         40733	70.67万	15.10	6.48	          2.01	128.92	77.84	2.38	0.910㈢	          8.63	          1.66	          3.85	          0.13	         65.18	  10.51㈢	         52.65	        419.53	        414.48	0.25	1453	600674	--  	--  	--  	
600690	海尔智家	-0.67	28.21	-0.19	28.21	28.22	357977	1834	0.04	          0.57	28.40	28.54	28.12	28.40	    13.10	101361.66	  0.87	冰洗	山东	1.48	28.32	179558	178419	  1.01	0.00	126	37	--  	58.85	          0.91	          0.02	517.38	0.00	   0.00	164275.83	270.94	0.00	0.16	--  	          0.00	--  	0.60	--  	--  	         62.55	       1764.39亿	       1840.85亿	 -0.51	   4607	-2	-4.12	-4.21	-4.05	-1.53	-2.05	13.30	45.64	-0.42	39.65	0	   36.17亿	          0.99	       1020.40亿	        -17.83亿	14.32	16.06	0.78	-2.99	KDJ死叉	14	5	10	0.00	0.49	-0.99	-0.28	-1.16	0.32	20241212	19931119	         93.83	--  	         28.57	2561.34	1093.00	         28.60	56.21	1281.35	297.61	103.70	1160.82	470.81	384.53	212.78	35.25	219.41	2029.71	1403.63	184.12	15.74	184.25	154.36	151.54	146.85	762.09	138.76	-69.60	113001.00	         32010	90.30万	15.27	2.17	          2.42	19.08	1.30	1.86	1.640㈢	         11.65	          2.34	          8.12	          1.48	         42.67	  13.87㈢	         30.85	          9.07	          7.61	81.30	112458	600690	--  	--  	--  	
600741	华域汽车	-0.12	17.21	-0.02	17.21	17.22	179831	715	-0.16	          0.57	17.21	17.37	17.04	17.23	     9.10	30977.46	  0.81	车身附件及饰件	上海	1.92	17.23	81013	98818	  0.82	0.00	342	57	--  	-9.95	          0.41	          0.01	123.05	0.00	   0.00	32871.97	66.43	-0.05	0.20	--  	          0.00	--  	1.34	--  	--  	         31.53	        542.58亿	        542.58亿	  0.05	   4083	-2	-0.69	-0.69	-0.18	0.41	-0.58	10.60	8.23	1.71	10.82	0	   13.14亿	          1.37	        226.15亿	         -0.63亿	7.82	7.53	0.77	-0.35	-- -- 	14	8	6	-0.12	0.81	-1.10	0.00	-0.92	1.00	20241029	19960826	         31.53	--  	--  	1809.54	601.12	         41.72	64.48	1134.69	211.47	36.70	1069.17	339.37	222.28	422.79	94.48	114.77	1194.91	1049.44	54.66	19.33	55.13	51.12	44.73	40.87	384.94	56.19	-61.65	64009.00	         20529	35.33万	-5.63	-1.70	          0.90	9.66	0.45	4.35	1.420㈢	         19.07	          3.64	         12.21	          1.78	         33.22	   7.44㈢	         12.17	          4.57	          4.28	45.72	56719	600741	--  	--  	--  	
600745	闻泰科技	-2.78	35.00	-1.00	34.99	35.00	304952	2505	0.00	          2.45	36.00	36.12	34.88	36.00	    78.78	107796.92	  0.82	功率半导体	湖北	3.44	35.35	169598	135354	  1.25	0.00	1118	8232	--  	-63.41	          1.06	          0.08	876.76	0.00	   0.00	109619.28	280.08	0.00	0.26	--  	          0.01	--  	0.82	--  	--  	         12.44	        435.44亿	        435.44亿	 -2.61	   4612	-2	-1.64	-2.89	-4.32	-6.67	-17.99	39.78	-18.89	-13.99	-17.04	5	    8.16亿	          3.74	        285.50亿	        -12.44亿	--  	37.92	1.24	-2.97	EXPMA死叉	1	10	11	0.00	0.33	-3.11	-1.81	-3.10	0.34	20241115	19960828	         12.44	--  	--  	781.36	375.30	          5.13	51.31	307.31	127.61	55.17	272.77	62.61	110.18	95.27	0.66	252.47	531.61	478.38	7.57	2.18	7.48	4.30	4.15	0.71	88.16	35.40	15.34	172190.00	          4737	16.58万	-80.26	19.70	          1.21	12.30	0.82	0.35	0.330㈢	         28.95	         20.29	          7.09	          2.85	         48.03	   1.10㈢	         10.01	          1.42	          0.81	22.02	31497	600745	--  	--  	--  	
