代码	名称(800)	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000009	中国宝安	-0.93	9.62	-0.09	9.62	9.63	169356	991	0.00	          0.66	9.71	9.75	9.58	9.71	    48.29	16334.79	  0.73	电池化学品	深圳	1.75	9.65	87279	82077	  1.06	0.00	997	157	--  	21.62	          0.79	          0.02	95.32	0.00	   0.00	30291.56	44.96	0.00	0.15	--  	          0.00	--  	1.16	--  	--  	         25.51	        245.45亿	        248.12亿	  0.37	   3533	-2	-2.41	-3.02	-1.94	-4.46	-6.51	25.75	-18.54	-2.43	-17.78	3	   15.30亿	          1.11	        147.22亿	         -2.32亿	54.05	33.11	0.93	-1.94	-- -- 	1	6	9	0.00	0.41	-1.34	-0.62	-1.33	0.42	20241126	19910625	         25.79	--  	--  	525.43	101.48	        113.76	59.04	300.83	116.13	18.06	156.03	81.24	110.50	51.15	6.93	14.89	146.36	106.41	11.89	-0.17	11.96	9.17	3.85	2.38	57.50	5.59	-16.22	171013.00	          8949	8.61万	-43.20	-40.28	          2.45	44.35	1.70	0.46	0.150㈢	          3.93	          0.58	          2.23	          0.22	         19.31	   3.80㈢	         27.29	          8.12	          6.26	6.10	16595	000009	--  	--  	--  	
000021	深科技	-2.38	19.24	-0.47	19.23	19.24	351596	3193	0.00	          2.25	19.68	19.75	19.13	19.71	    34.05	68062.91	  0.75	消费电子组件	深圳	3.15	19.36	188854	162742	  1.16	0.00	1402	742	--  	1.34	          1.04	          0.08	614.34	0.00	   0.00	90839.33	113.55	-0.09	0.13	--  	          0.01	--  	0.47	--  	--  	         15.60	        300.23亿	        300.26亿	 -1.09	   4494	-2	-1.89	-3.80	-3.36	-7.01	-3.46	46.87	14.73	-4.56	19.65	5	    9.34亿	          3.76	        179.79亿	         -7.33亿	35.79	47.72	1.04	-2.88	-- -- 	1	12	2	-0.15	0.20	-2.94	-1.78	-2.58	0.58	20241203	19940202	         15.61	--  	--  	291.54	115.64	         19.73	53.57	167.24	49.81	3.92	132.46	90.31	29.95	36.57	6.47	23.37	108.52	90.50	9.53	0.13	9.68	8.12	6.61	6.17	60.78	19.17	0.06	216066.00	          4325	8.32万	48.12	-1.09	          2.60	15.66	2.77	0.66	0.420㈢	          7.41	          1.50	          3.89	          1.23	         39.66	   5.72㈢	         16.60	          8.78	          7.48	2.56	17241	000021	--  	--  	--  	
000027	深圳能源	0.61	6.60	0.04	6.59	6.60	153922	890	0.00	          0.32	6.56	6.65	6.55	6.56	    11.08	10170.74	  0.73	火力发电	深圳	1.52	6.61	78686	75236	  1.05	0.00	388	1379	--  	-18.28	          0.62	          0.02	58.74	0.00	   0.00	18235.04	65.42	0.00	0.36	--  	          0.01	--  	1.30	--  	--  	         47.57	        313.99亿	        313.99亿	  1.91	   2809	1	-2.38	-1.34	-1.34	-1.05	-3.51	20.88	8.55	-0.31	4.59	1	   11.88亿	          1.30	         78.43亿	          1.90亿	27.28	15.25	0.82	-0.75	MACD死叉	14	5	14	0.00	1.37	-0.15	0.76	-0.75	0.76	20241126	19930903	         47.57	--  	--  	1635.67	476.27	        100.26	64.75	400.26	631.98	203.76	353.43	92.78	14.83	148.34	12.95	46.59	304.15	237.13	35.64	6.97	35.77	27.41	21.25	20.32	149.44	74.52	16.01	125672.00	          9456	6.24万	-29.79	3.61	          1.04	4.21	1.03	2.13	0.380㈢	          6.33	          0.98	          3.14	          1.57	         29.12	   4.46㈢	         22.03	         11.72	          9.01	1.01	12200	000027	--  	--  	--  	
000032	深桑达Ａ	-1.27	17.93	-0.23	17.92	17.93	148318	1339	0.11	          2.30	18.29	18.31	17.79	18.16	--  	26771.08	  0.84	其他专业工程	深圳	2.86	18.05	87389	60929	  1.43	0.00	64	254	--  	-21.57	          0.71	          0.06	240.08	0.00	   0.00	37055.76	114.31	-0.32	0.31	--  	          0.02	--  	0.94	--  	--  	          6.45	        115.61亿	        204.04亿	  0.03	   3597	-3	-3.15	-4.73	-1.64	-4.98	-2.03	37.60	-20.34	-3.91	-14.90	5	    4.04亿	          3.67	         72.39亿	         -2.62亿	43.71	62.69	0.98	-2.77	KDJ死叉	10	8	13	0.72	0.83	-2.04	-0.61	-2.08	0.79	20241030	19931028	         11.38	--  	--  	658.05	60.57	         54.17	82.56	546.45	48.66	10.11	454.88	90.96	14.06	127.82	32.18	34.19	484.22	440.00	3.31	1.19	3.40	0.33	-1.27	-3.41	11.75	-23.63	-4.29	62751.00	          6434	11.54万	53.07	25.21	          3.37	-8.63	0.42	0.61	-0.110㈢	          5.32	          3.00	          1.03	         -2.08	          9.21	  -2.09㈢	          9.13	          0.68	          0.07	15.70	23355	000032	--  	--  	--  	
000034	神州数码	-1.93	33.46	-0.66	33.46	33.47	156174	1296	-0.02	          2.83	33.92	34.12	33.27	34.12	    18.81	52615.11	  0.75	其他云服务	深圳	2.49	33.69	82349	73825	  1.12	0.00	66	19	--  	0.72	          0.86	          0.06	433.82	0.00	   0.00	86038.11	131.61	-0.23	0.15	--  	          0.01	--  	0.90	--  	--  	          5.53	        184.95亿	        224.04亿	 -0.64	   4247	-3	-2.71	-5.67	-4.89	-4.38	-1.85	37.30	7.66	-1.56	13.58	2	    4.58亿	          3.41	        153.36亿	         -4.42亿	18.81	19.50	0.94	-3.29	MACD死叉	1	12	6	-0.59	0.00	-2.49	-1.26	-1.93	0.57	20241209	19940509	          6.70	--  	--  	449.69	93.29	          7.25	77.64	357.71	7.21	6.03	302.63	47.01	141.35	120.60	34.58	41.97	915.71	874.57	10.79	-0.46	10.90	9.16	8.94	8.61	41.64	21.67	-8.41	79369.00	          5775	19.32万	5.04	8.81	          2.42	10.34	0.24	1.28	1.380㈢	         13.83	          6.27	          6.22	          3.24	         20.74	   9.58㈢	          4.49	          1.18	          1.00	2.50	6174	000034	--  	--  	--  	
000039	中集集团	-0.87	7.97	-0.07	7.97	7.98	235820	802	0.00	          1.02	8.02	8.09	7.93	8.04	    17.63	18862.04	  0.88	金属制品	深圳	1.99	8.00	140714	95106	  1.48	0.00	546	1243	--  	12.81	          0.51	          0.01	63.87	0.00	   0.00	21917.19	49.87	0.00	0.23	--  	          0.00	--  	0.39	--  	--  	         23.01	        183.42亿	        183.52亿	  0.43	   3836	-2	-1.47	-2.33	-1.37	-3.40	-7.65	15.01	1.53	-1.97	4.45	0	   20.26亿	          1.16	        161.50亿	         -3.77亿	24.72	102.92	0.58	-1.36	空头排列	10	2	10	-0.25	0.62	-1.37	-0.50	-1.48	0.50	20241114	19940408	         53.93	--  	         30.90	1808.54	508.39	        163.68	62.84	1078.80	397.39	59.80	850.03	240.19	206.03	333.98	173.62	43.29	1289.71	1137.02	42.19	0.77	42.85	27.26	18.28	16.92	325.17	16.10	18.31	80898.00	         25049	19.96万	268.87	35.58	          0.92	26.69	0.33	0.12	0.340㈢	          8.67	          0.80	          6.03	          0.30	         28.11	   3.60㈢	         11.84	          3.27	          2.11	18.21	49988	000039	--  	--  	--  	
000050	深天马Ａ	-0.86	9.24	-0.08	9.24	9.25	164095	1055	0.11	          0.67	9.29	9.37	9.21	9.32	--  	15220.74	  0.62	面板	深圳	1.72	9.28	92563	71532	  1.29	0.00	206	1084	--  	-30.51	          0.62	          0.02	97.48	0.00	   0.00	21047.65	72.55	0.00	0.34	--  	          0.01	--  	1.60	--  	--  	         24.58	        227.09亿	        227.10亿	  0.44	   3486	-3	-1.69	-2.74	0.11	-0.64	-2.42	37.91	-10.12	4.88	-13.24	2	   11.92亿	          1.38	        110.12亿	         -1.97亿	--  	--  	0.85	-1.49	MACD死叉	10	8	9	-0.32	0.54	-1.18	-0.43	-1.39	0.33	20241213	19950315	         24.58	--  	--  	802.63	274.72	         17.98	63.53	210.92	458.62	23.70	220.57	68.98	43.03	82.46	3.98	262.35	240.14	208.08	-4.34	-1.89	-4.38	-4.76	-4.73	-13.11	-13.43	45.01	-14.21	78703.00	         15143	13.99万	73.60	-2.78	          0.83	5.05	0.95	0.00	-0.190㈢	         11.18	         10.67	         -0.55	          1.83	         34.23	  -1.72㈢	         13.35	         -1.81	         -1.98	23.12	24376	000050	--  	--  	--  	
000060	中金岭南	-0.60	4.94	-0.03	4.93	4.94	364889	1557	0.20	          0.98	4.95	4.98	4.91	4.97	    17.32	18023.91	  0.45	铅锌	深圳	1.41	4.94	204271	160618	  1.27	0.00	1107	4243	--  	31.76	          0.49	          0.02	76.92	0.00	   0.00	32127.45	132.46	0.00	0.41	--  	          0.01	--  	1.03	--  	--  	         37.37	        184.62亿	        184.64亿	  0.70	   4064	-2	-2.55	-3.14	-1.60	0.61	1.85	23.81	16.23	1.85	15.97	0	   24.02亿	          1.52	        118.67亿	         -1.12亿	24.08	27.01	0.62	-1.79	KDJ死叉	1	8	8	-0.40	0.20	-1.21	-0.60	-0.80	0.61	20241029	19970123	         37.38	--  	--  	451.54	138.80	         33.79	61.78	179.00	171.98	52.37	122.33	39.25	101.03	7.81	5.83	5.63	456.88	429.95	12.14	0.67	12.11	9.86	7.99	7.73	81.98	9.02	5.69	132866.00	         18080	8.93万	11.66	-13.49	          1.38	20.47	0.40	1.13	0.210㈢	          3.58	          0.15	          2.19	          0.24	         30.74	   5.76㈢	          5.89	          2.66	          2.16	3.36	11553	000060	--  	--  	--  	
000066	中国长城	-3.30	15.55	-0.53	15.54	15.55	1660305	21063	0.19	          5.28	16.00	16.04	15.38	16.08	--  	259455.23	  0.97	其他IT设备	深圳	4.10	15.63	812930	847375	  0.96	0.00	350	2559	--  	61.34	          1.13	          0.20	3275.32	0.00	   0.00	297356.70	778.08	0.00	0.26	--  	          0.03	--  	0.64	--  	--  	         31.47	        489.33亿	        501.61亿	 -2.00	   4744	-3	-4.23	-7.66	-7.66	-10.07	-11.80	88.72	37.13	-7.55	53.65	10	   19.31亿	          8.60	        300.32亿	        -17.10亿	--  	--  	0.90	-5.18	空头排列	1	10	12	-0.50	-0.25	-4.35	-2.80	-3.05	1.11	20241212	19970626	         32.26	--  	--  	339.37	120.11	         11.91	61.10	207.46	42.67	7.22	119.68	44.90	77.70	57.95	8.03	45.93	96.06	80.32	-5.83	-1.46	-6.23	-6.55	-6.88	-7.12	31.96	-8.71	1.41	517675.00	          3731	5.80万	17.24	19.27	          4.18	-57.56	5.22	0.00	-0.210㈢	          3.72	          1.42	          0.99	         -0.27	         35.39	  -5.73㈢	         16.38	         -6.07	         -6.82	8.29	14660	000066	--  	--  	--  	
000155	川能动力	-2.17	12.15	-0.27	12.15	12.16	288822	2450	0.00	          1.96	12.46	12.50	12.05	12.42	    26.71	35340.16	  0.67	风力发电	四川	3.62	12.24	167538	121284	  1.38	0.00	114	129	--  	-7.02	          0.89	          0.07	297.67	0.00	   0.00	70740.00	178.55	0.00	0.25	--  	          0.02	--  	1.33	--  	--  	         14.76	        179.32亿	        224.31亿	 -0.88	   3939	-1	1.97	-0.41	-2.02	1.42	9.16	31.63	-0.41	11.57	-7.47	4	    7.72亿	          3.74	         93.77亿	         -4.98亿	26.56	28.75	0.87	-0.65	阶段放量	8	8	11	0.32	0.64	-2.98	-1.45	-2.80	0.83	20241206	20000926	         18.46	--  	--  	251.24	101.83	         23.22	50.23	96.38	79.64	45.57	45.83	55.91	2.74	22.63	0.10	70.83	22.77	10.49	7.47	-0.00	7.43	6.46	6.30	6.15	10.06	12.39	20.27	117134.00	          6589	8.01万	11.69	-7.02	          2.20	18.11	9.85	1.29	0.390㈢	          5.52	          3.84	          0.54	          0.67	         40.53	   6.18㈢	         53.94	         32.81	         28.36	0.16	2024	000155	--  	--  	--  	
000400	许继电气	1.08	27.18	0.29	27.18	27.19	194104	1071	-0.06	          1.93	26.90	27.85	26.87	26.89	    23.21	53132.99	  1.29	电网自动化	河南	3.64	27.37	87953	106151	  0.83	0.00	24	79	--  	-74.72	          0.46	          0.03	291.10	0.00	   0.00	35692.48	28.25	0.00	0.08	--  	          0.00	--  	0.09	--  	--  	         10.08	        274.06亿	        276.93亿	  2.38	   4053	1	-1.50	-0.84	-0.14	2.49	-5.30	-8.86	32.26	5.34	26.54	1	    6.22亿	          3.12	        169.07亿	          2.95亿	25.14	27.25	0.37	0.04	KDJ死叉	9	1	10	0.04	3.57	-0.07	1.79	-2.41	1.15	20241209	19970418	         10.19	--  	--  	235.78	113.40	         11.14	47.18	191.53	17.10	7.33	107.94	53.46	33.77	70.24	18.87	6.31	95.86	74.83	11.06	0.07	11.23	10.23	8.95	8.64	92.14	7.96	3.51	70900.00	          8773	23.85万	10.41	-11.49	          2.44	34.80	2.89	2.10	0.880㈢	         11.13	          0.62	          9.04	          0.78	         48.09	   7.89㈢	         21.94	         11.54	         10.67	4.45	5661	000400	--  	--  	--  	
000401	冀东水泥	-3.21	5.73	-0.19	5.72	5.73	252637	1245	0.35	          1.63	5.95	5.99	5.68	5.92	--  	14642.32	  1.32	水泥制造	河北	5.24	5.80	179554	73083	  2.46	0.00	321	857	--  	26.31	          0.71	          0.04	71.34	0.00	   0.00	11646.48	42.54	-0.16	0.37	--  	          0.01	--  	2.32	--  	--  	         15.47	         88.66亿	        152.32亿	 -1.91	   3281	-3	-2.15	-6.22	-2.55	-1.72	-0.69	33.88	-14.60	0.18	-10.33	0	    9.77亿	          2.59	         55.97亿	         -5.05亿	--  	--  	0.64	-3.70	KDJ死叉	10	12	2	0.51	1.18	-4.05	-2.03	-4.34	0.88	20241030	19960614	         26.58	--  	--  	604.37	283.57	         17.58	50.17	158.27	310.48	65.96	154.64	70.15	34.69	21.97	8.29	170.73	185.57	151.93	-2.57	0.88	-2.13	-4.11	-2.97	-4.90	75.03	17.62	7.31	85556.00	         11417	6.54万	3.84	-16.95	          0.54	8.64	0.82	0.00	-0.110㈢	         10.56	          6.42	          2.82	          0.66	         46.92	  -1.05㈢	         18.13	         -1.38	         -2.21	1.31	22102	000401	--  	--  	--  	
000403	派林生物	-2.77	21.07	-0.60	21.06	21.07	101027	373	0.05	          1.48	21.47	21.60	21.02	21.67	    21.29	21468.63	  0.95	血液制品	山西	2.68	21.25	60682	40345	  1.50	0.00	431	4	--  	70.93	          0.42	          0.02	78.59	0.00	   0.00	45102.19	176.70	-0.41	0.39	--  	          0.02	--  	1.82	--  	--  	          6.85	        144.27亿	        154.04亿	 -1.47	   3258	-3	-0.41	-3.22	-2.82	-3.26	-4.70	-4.40	-26.69	-2.55	-22.08	1	    4.38亿	          2.31	         92.21亿	         -4.39亿	19.12	25.88	0.72	-2.50	均线粘合	4	13	1	-0.92	-0.32	-3.00	-1.94	-2.45	0.24	20241205	19960628	          7.31	--  	--  	90.53	78.32	         -0.07	13.57	35.42	13.74	2.04	8.71	7.54	11.39	5.71	0.10	47.96	18.90	9.35	6.39	0.29	6.20	5.43	5.43	4.98	22.09	2.28	-6.75	25456.00	         17192	36.22万	66.38	37.49	          1.97	67.70	8.15	1.61	0.740㈢	         10.68	          6.56	          3.02	          0.31	         86.51	   6.93㈢	         50.52	         33.79	         28.71	0.46	2426	000403	--  	--  	--  	
000423	东阿阿胶	-0.48	59.66	-0.29	59.66	59.70	68828	421	0.45	          1.07	59.68	61.20	58.76	59.95	    25.01	41102.78	  1.24	中药	山东	4.07	59.72	36315	32513	  1.12	0.00	8	19	--  	36.17	          0.66	          0.02	251.05	0.00	   0.00	41153.85	222.62	0.30	0.54	--  	          0.01	--  	1.13	--  	--  	          6.44	        384.20亿	        384.20亿	  0.82	   3936	-2	-0.88	1.77	3.89	2.45	2.92	31.12	24.37	2.99	28.60	0	    4.35亿	          1.58	        259.34亿	         -1.87亿	25.41	33.55	0.44	0.49	平台整理	12	2	8	-0.45	2.09	-1.98	-0.38	-2.52	1.53	20241202	19960729	          6.44	--  	--  	127.15	99.12	          0.22	21.88	99.12	18.01	3.14	26.36	42.98	8.29	3.40	7.58	4.02	43.29	11.20	13.43	0.44	13.49	11.52	11.52	10.67	84.78	14.41	-15.19	53842.00	          8073	48.17万	47.00	26.28	          3.88	26.66	8.87	4.88	1.790㈢	         15.39	          0.62	         13.16	          2.24	         77.95	  11.62㈢	         74.13	         31.01	         26.61	0.89	3678	000423	--  	--  	--  	
000426	兴业银锡	-0.46	13.02	-0.06	13.02	13.03	266468	1002	0.15	          1.50	12.99	13.22	12.76	13.08	    13.34	34726.99	  0.83	铅锌	内蒙	3.52	13.03	132837	133631	  0.99	0.00	38	221	--  	34.22	          0.57	          0.03	130.51	0.00	   0.00	62322.82	150.81	-0.53	0.24	--  	          0.01	--  	1.18	--  	--  	         17.75	        231.14亿	        231.19亿	  0.84	   3407	-3	-3.61	-4.96	-1.58	-1.73	2.60	30.46	46.62	0.54	44.34	0	   11.73亿	          2.27	        152.78亿	         -1.07亿	13.45	23.96	0.71	-2.25	KDJ死叉	1	2	10	-0.69	1.07	-2.45	-0.38	-1.51	2.04	20241206	19960828	         17.76	--  	--  	113.65	76.52	          0.90	31.88	13.24	41.92	40.71	25.35	5.21	3.32	0.05	1.24	22.48	32.96	11.77	15.23	-0.08	15.10	12.80	13.00	13.05	32.79	12.54	1.69	35522.00	         33035	43.01万	139.40	35.95	          3.13	18.44	7.01	0.51	0.710㈢	          4.16	          1.27	          1.85	          0.71	         67.33	  16.99㈢	         64.31	         46.20	         38.83	0.61	1246	000426	--  	--  	--  	
000513	丽珠集团	-0.76	37.76	-0.29	37.76	37.78	63095	532	0.05	          1.05	37.95	38.21	37.70	38.05	    15.71	23906.36	  0.70	化学制剂	广东	1.34	37.89	36658	26437	  1.39	0.00	62	8	--  	81.16	          1.21	          0.04	200.88	0.00	   0.00	40636.40	27.32	-0.10	0.07	--  	          0.00	--  	0.26	--  	--  	          6.01	        226.86亿	        234.40亿	  0.54	   3369	-2	-1.55	-1.27	-0.16	-0.47	1.73	5.77	13.97	-1.13	12.18	0	    3.63亿	          1.74	        136.92亿	         -2.69亿	17.44	18.07	0.50	-0.92	平台整理	14	4	8	-0.26	0.42	-0.92	-0.42	-1.18	0.16	20241212	19931028	          9.28	--  	          3.07	249.09	141.59	          7.77	40.04	166.13	43.28	4.10	90.13	107.33	19.89	21.47	0.79	13.53	90.82	31.05	23.15	0.26	23.03	19.46	16.73	16.31	113.48	23.08	-2.32	41320.00	          8775	33.14万	4.44	-5.94	          2.47	15.18	3.86	2.36	1.810㈢	         15.28	          1.46	         12.23	          2.49	         56.84	  11.81㈢	         65.81	         25.50	         21.43	7.34	8920	000513	--  	--  	--  	
000519	中兵红箭	-1.42	15.26	-0.22	15.26	15.27	201873	1936	0.07	          1.45	15.41	15.51	15.18	15.48	--  	30901.53	  0.44	地面兵装	湖南	2.13	15.31	107491	94382	  1.14	0.00	276	594	--  	19.33	          0.87	          0.05	295.35	0.00	   0.00	56566.55	127.59	0.00	0.23	--  	          0.01	--  	0.36	--  	--  	         13.93	        212.50亿	        212.50亿	 -0.12	   4115	-2	-2.95	-4.33	-5.63	0.39	4.09	34.33	5.82	0.99	9.08	4	    8.03亿	          2.51	        122.53亿	         -3.06亿	38.31	26.02	0.85	-2.74	-- -- 	10	2	2	-0.45	0.19	-1.94	-1.10	-1.61	0.53	20241114	19931008	         13.93	--  	--  	155.45	103.32	          0.70	33.09	104.49	32.90	4.36	43.36	54.96	23.82	18.96	4.43	37.29	27.19	21.06	-0.32	0.01	-0.31	-0.65	-0.60	-0.66	49.97	-11.88	-10.04	193000.00	          4161	6.35万	-129.31	-9.60	          2.06	-17.88	7.82	0.36	-0.040㈢	          7.42	          2.68	          3.59	         -0.85	         66.47	  -0.58㈢	         22.55	         -1.16	         -2.41	2.89	8365	000519	--  	--  	--  	
000537	中绿电	-0.53	9.45	-0.05	9.45	9.46	121980	1158	0.00	          0.59	9.55	9.62	9.41	9.50	    16.00	11583.31	  0.70	风力发电	天津	2.21	9.50	76248	45732	  1.67	0.00	199	534	--  	1.21	          0.71	          0.03	109.43	0.00	   0.00	19815.50	62.36	0.21	0.31	--  	          0.01	--  	0.90	--  	--  	         20.67	        195.29亿	        195.29亿	  0.77	   3009	-2	-0.63	0.64	1.17	0.00	-2.38	18.27	-1.87	1.28	0.00	0	    6.49亿	          1.88	         61.30亿	         -1.03亿	19.11	21.35	0.62	0.00	MACD金叉	12	3	9	0.53	1.26	-0.95	0.00	-1.77	0.43	20241120	19931210	         20.67	--  	--  	877.17	195.09	         48.26	72.26	155.64	192.06	4.16	97.80	57.38	0.02	63.95	--  	60.55	29.24	11.92	12.06	-0.10	12.06	10.76	9.16	8.41	104.33	12.61	-32.61	36799.00	         17628	16.66万	13.31	3.35	          1.00	15.48	6.68	1.89	0.460㈢	          9.44	          2.93	          5.05	          0.61	         22.24	   4.69㈢	         59.23	         41.26	         36.79	0.00	983	000537	--  	--  	--  	
000539	粤电力Ａ	1.47	4.82	0.07	4.81	4.82	237946	1907	0.21	          0.93	4.75	4.83	4.74	4.75	    12.94	11431.81	  1.11	火力发电	广东	1.89	4.80	84794	153152	  0.55	0.00	1282	9428	--  	-59.61	          1.11	          0.07	91.92	0.00	   0.00	8903.33	68.54	0.00	0.77	--  	          0.02	--  	1.95	--  	--  	         25.54	        123.10亿	        253.06亿	  2.77	   2935	1	-1.66	-0.21	0.21	1.69	2.12	15.59	-6.05	3.66	-1.02	0	    8.15亿	          2.92	         39.28亿	          3.68亿	34.88	25.59	0.57	0.42	KDJ死叉	10	5	9	0.00	1.68	-0.21	1.05	-0.21	1.69	20241031	19931126	         52.50	          7.98	--  	1690.67	234.89	        119.97	79.01	333.93	720.67	35.59	456.15	175.71	28.37	90.72	0.48	52.10	425.17	366.43	28.31	7.92	27.54	20.74	14.67	14.87	26.46	108.67	15.27	109313.00	         14758	7.11万	-15.04	-5.88	          1.08	2.33	0.60	0.42	0.280㈢	          4.47	          0.99	          0.50	          2.07	         13.89	   6.25㈢	         13.82	          6.66	          4.88	7.54	10074	000539	--  	--  	--  	
000559	万向钱潮	-0.31	6.42	-0.02	6.41	6.42	242427	2078	0.16	          0.73	6.42	6.53	6.37	6.44	    22.20	15633.80	  0.71	底盘与发动机系统	浙江	2.48	6.45	135995	106432	  1.28	0.00	553	424	--  	-12.69	          1.22	          0.05	133.41	0.00	   0.00	21357.95	199.21	0.31	0.93	--  	          0.03	--  	2.14	--  	--  	         33.04	        212.10亿	        212.10亿	  0.99	   3265	-3	-2.42	-3.45	-2.72	-3.02	-1.99	30.75	21.82	-0.93	27.38	4	   11.90亿	          2.04	         76.42亿	         -0.66亿	22.83	25.90	0.70	-1.98	-- -- 	1	8	12	-0.31	1.40	-1.09	0.16	-1.68	0.78	20241025	19940110	         33.04	--  	--  	223.19	91.08	          1.97	58.31	139.84	25.90	2.32	110.30	61.21	29.87	25.08	4.66	25.32	108.47	90.96	7.80	0.45	7.80	7.23	7.17	7.29	23.34	9.06	9.29	80754.00	         14740	9.46万	18.22	-2.14	          2.33	23.41	1.96	2.33	0.220㈢	          2.76	          0.77	          0.71	          0.27	         40.81	   7.87㈢	         16.14	          7.19	          6.66	3.70	8926	000559	--  	--  	--  	
000563	陕国投Ａ	-1.03	3.84	-0.04	3.83	3.84	682241	7079	0.26	          1.33	3.88	3.90	3.81	3.88	    15.76	26267.73	  0.57	信托	陕西	2.32	3.85	398875	283366	  1.41	0.00	4459	7774	--  	-7.77	          0.68	          0.03	271.83	0.00	   0.00	54437.87	78.18	0.00	0.14	--  	          0.01	--  	0.20	--  	--  	         51.14	        196.38亿	        196.38亿	  0.27	   3793	-2	-3.72	-3.76	-2.54	-2.29	-3.28	41.18	28.00	-0.52	31.05	3	   28.86亿	          2.36	        110.83亿	         -2.05亿	16.75	18.33	1.08	-2.54	MACD死叉	10	8	10	0.00	0.52	-1.80	-0.77	-1.54	0.79	20241212	19940110	         51.14	--  	--  	252.51	176.14	--  	30.24	0.00	0.56	0.16	0.00	12.91	0.00	0.00	0.24	64.52	20.16	7.82	12.34	6.54	12.33	9.34	9.34	9.24	46.87	15.08	-1.40	122072.00	         23644	9.08万	12.28	5.15	          1.11	13.02	9.74	2.84	0.180㈢	          3.44	          1.26	          0.92	          0.29	         69.76	   5.30㈢	         61.20	         61.20	         46.34	--  	621	000563	--  	--  	--  	
000591	太阳能	-0.40	4.99	-0.02	4.98	4.99	435462	2260	0.00	          1.21	5.00	5.05	4.96	5.01	    11.35	21751.33	  0.82	光伏发电	重庆	1.80	5.00	271749	163713	  1.66	0.00	5712	9138	--  	17.78	          0.48	          0.02	112.77	0.00	   0.00	36522.98	60.70	0.00	0.17	--  	          0.00	--  	0.98	--  	--  	         35.99	        179.57亿	        195.29亿	  0.90	   3862	-2	-2.53	-2.92	-2.73	-0.80	-1.96	22.61	-6.90	0.20	-8.10	0	   25.55亿	          1.70	        127.50亿	         -0.78亿	13.81	12.42	0.66	-1.77	MACD死叉	1	6	11	-0.20	0.80	-1.00	-0.20	-1.19	0.60	20241030	19960208	         39.14	--  	--  	486.94	237.24	          0.59	51.16	159.10	245.62	5.53	69.63	27.77	1.84	127.09	0.45	118.45	47.73	24.61	15.70	0.21	15.80	12.93	12.91	12.62	75.54	13.26	4.37	181722.00	         14061	7.02万	-10.95	-25.93	          0.82	14.73	4.09	4.05	0.330㈢	          6.06	          3.03	          1.93	          0.34	         48.72	   5.44㈢	         48.44	         32.88	         27.08	0.99	2173	000591	--  	--  	--  	
