代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000001	平安银行	0.09	11.57	0.01	11.57	11.58	805718	10090	0.00	          0.42	11.56	11.66	11.53	11.56	     4.24	93422.62	  0.63	股份制银行	深圳	1.12	11.59	461564	344154	  1.34	0.00	2080	13856	--  	-5.58	          1.02	          0.02	1167.41	0.00	   0.00	156558.91	623.61	0.00	0.40	--  	          0.01	--  	0.77	--  	--  	        194.06	       2245.23亿	       2245.26亿	  1.39	   4482	1	-2.45	-1.37	-0.85	1.58	-1.53	21.92	41.10	1.67	37.25	1	   81.60亿	          0.99	        944.17亿	          1.94亿	4.82	4.83	0.63	-1.11	KDJ死叉	4	10	10	0.00	0.87	-0.26	0.26	-0.77	0.35	20241019	19910403	        194.06	--  	--  	57459.88	4904.69	--  	91.46	0.00	87.53	61.53	0.00	4048.80	0.00	0.00	--  	807.15	1115.82	637.13	478.69	183.72	477.44	397.29	397.29	397.48	2398.99	1371.58	-189.13	517695.00	         15763	18.24万	0.24	-12.58	          0.53	1.64	2.01	8.35	1.940㈢	         21.67	          4.16	         12.36	          7.07	          8.54	   8.10㈢	         42.90	         42.90	         35.61	--  	40830	000001	--  	--  	--  	
000002	万 科Ａ	-2.14	8.23	-0.18	8.22	8.23	1198130	8441	0.00	          1.23	8.42	8.45	8.20	8.41	--  	99400.80	  0.66	住宅开发	深圳	2.97	8.30	638709	559421	  1.14	0.00	7640	5190	--  	62.63	          0.88	          0.03	694.69	0.00	   0.00	162418.05	473.20	0.00	0.29	--  	          0.01	--  	0.23	--  	--  	         97.17	        799.70亿	        800.30亿	 -0.84	   4639	-2	-3.22	-4.86	-2.26	-5.18	-6.90	30.43	-22.65	-4.30	-21.32	5	   64.74亿	          1.85	        532.82亿	        -21.48亿	--  	8.25	0.93	-3.29	MACD死叉	1	12	13	0.12	0.48	-2.50	-1.31	-2.60	0.37	20241031	19910129	        119.31	--  	         22.07	13571.80	2341.20	       1402.39	72.42	10162.76	205.43	83.76	7508.32	797.45	5793.35	98.07	2497.10	254.71	2198.95	1990.00	-146.67	0.74	-154.40	-163.98	-179.43	-144.68	756.73	-48.48	-196.22	627280.00	         10321	8.49万	-231.73	-24.25	          0.42	-20.26	0.45	0.00	-1.510㈢	         19.62	          2.13	          6.34	         -0.41	         17.25	  -7.66㈢	          9.50	         -6.67	         -7.46	3.69	131097	000002	--  	--  	--  	
000004	国华网安	2.54	20.56	0.51	20.56	20.57	237036	3175	0.19	         18.77	19.88	20.70	19.40	20.05	--  	48054.93	  1.81	基础软件	深圳	6.48	20.27	108587	128449	  0.85	0.00	2652	371	--  	-1.48	          1.78	          0.99	652.78	0.00	   0.00	71084.99	398.00	0.05	0.56	--  	          0.23	--  	0.16	--  	--  	          1.26	         25.96亿	         27.22亿	  3.84	   4284	4	0.10	12.90	12.78	11.98	21.73	70.77	19.05	13.28	27.46	22	    0.87亿	         27.32	         17.84亿	          0.68亿	--  	--  	0.84	5.92	-- -- 	4	12	2	-0.85	3.24	-3.24	1.10	-0.68	5.98	20241204	19910114	          1.32	--  	--  	3.85	1.60	         -0.03	59.25	2.87	0.02	0.13	2.01	0.64	0.02	1.72	0.44	12.32	0.76	0.21	-0.37	0.00	-0.41	-0.37	-0.36	-0.33	-12.18	-0.24	-0.30	43880.00	          1978	4.07万	-1.78	-5.78	         17.03	-114.27	35.86	0.00	-0.270㈢	          1.21	          9.31	         -9.20	         -0.18	         41.54	 -22.43㈢	         72.96	        -48.81	        -49.25	0.23	298	000004	--  	--  	--  	
000006	深振业Ａ	-4.36	8.56	-0.39	8.56	8.57	388235	6565	-0.11	          2.88	8.79	8.79	8.53	8.95	--  	33590.16	  0.84	住宅开发	深圳	2.91	8.65	217860	170375	  1.28	0.00	3026	240	--  	61.11	          1.92	          0.18	561.96	0.00	   0.00	36284.06	614.51	0.00	1.69	--  	          0.08	--  	3.54	--  	--  	         13.50	        115.56亿	        115.56亿	 -3.06	   3240	-2	-2.72	-6.14	-4.78	-7.66	6.47	106.26	78.71	-3.72	86.49	10	    8.51亿	          4.56	         72.81亿	         -5.26亿	--  	--  	0.67	-4.46	-- -- 	10	12	12	-1.79	-1.79	-4.69	-3.35	-2.62	0.35	20241031	19920427	         13.50	--  	--  	208.89	64.49	          3.61	67.40	166.86	0.62	0.00	86.47	26.58	129.41	0.48	21.42	4.84	48.28	44.58	-6.24	0.71	-6.23	-6.32	-5.24	-5.25	24.36	1.08	-12.71	68571.00	         12405	10.62万	-42613.00	482.14	          1.79	106.97	2.39	0.00	-0.390㈢	          4.78	          0.36	          1.80	          0.08	         30.87	  -8.12㈢	          7.66	        -12.93	        -13.10	--  	416	000006	--  	--  	--  	
000007	全新好	4.13	7.56	0.30	7.55	7.56	211098	3959	0.00	          6.09	7.33	7.81	7.11	7.26	   618.50	15858.63	  2.04	商业物业经营	深圳	9.64	7.51	93255	117843	  0.79	0.00	217	305	--  	-17.43	          1.82	          0.37	299.30	0.00	   0.00	6496.25	32.25	-0.13	0.50	--  	          0.02	--  	1.24	--  	--  	          3.46	         26.19亿	         26.19亿	  5.43	   2685	1	-4.47	2.44	3.99	3.56	7.08	61.54	53.35	4.13	55.24	12	    2.13亿	          9.92	         16.08亿	          1.04亿	88.88	69.93	0.75	2.16	KDJ死叉	1	12	3	0.96	7.58	-2.07	3.44	-3.20	6.33	20241120	19920413	          3.46	--  	--  	3.32	1.29	          0.11	57.96	2.14	0.46	0.00	1.26	1.13	0.37	0.17	0.02	1.57	1.54	1.25	0.05	0.00	0.04	0.02	0.03	0.04	-3.17	0.21	-0.81	10917.00	         19489	14.73万	-70.72	0.60	         20.32	127.24	16.98	0.00	0.010㈢	          0.37	          0.45	         -0.91	          0.06	         38.81	   2.46㈢	         18.97	          3.56	          1.06	--  	74	000007	--  	--  	--  	
000008	神州高铁	1.27	3.18	0.04	3.18	3.19	1510664	15861	0.32	          5.62	3.12	3.25	3.10	3.14	--  	48214.99	  0.58	轨交设备	北京	4.78	3.19	690680	819984	  0.84	0.00	6741	7765	--  	16.14	          1.47	          0.28	504.38	0.00	   0.00	47593.99	205.08	0.00	0.43	--  	          0.04	--  	0.58	--  	--  	         26.86	         85.42亿	         86.38亿	  2.57	   4196	1	-2.79	-3.34	-5.63	14.39	25.69	58.21	28.22	25.69	34.74	10	   16.24亿	          9.30	         51.63亿	          1.09亿	--  	--  	0.79	-0.93	阶段放量	8	8	6	-0.64	3.50	-1.27	1.59	-2.15	2.58	20241212	19920507	         27.16	--  	--  	104.20	33.77	          0.82	66.81	46.68	4.70	1.75	62.15	5.86	8.85	20.12	10.63	26.20	10.90	7.76	-2.25	0.50	-1.94	-2.01	-1.80	-2.10	-20.43	-1.23	0.86	156379.00	         10383	3.30万	-23.69	-16.71	          2.56	-70.25	7.93	0.00	-0.070㈢	          1.24	          0.96	         -0.75	         -0.05	         32.41	  -5.33㈢	         28.82	        -20.66	        -18.45	1.01	2160	000008	--  	--  	--  	
000009	中国宝安	-0.93	9.62	-0.09	9.62	9.63	169356	991	0.00	          0.66	9.71	9.75	9.58	9.71	    48.29	16334.79	  0.73	电池化学品	深圳	1.75	9.65	87279	82077	  1.06	0.00	997	157	--  	21.62	          0.79	          0.02	95.32	0.00	   0.00	30291.56	44.96	0.00	0.15	--  	          0.00	--  	1.16	--  	--  	         25.51	        245.45亿	        248.12亿	  0.37	   3533	-2	-2.41	-3.02	-1.94	-4.46	-6.51	25.75	-18.54	-2.43	-17.78	3	   15.30亿	          1.11	        147.22亿	         -2.32亿	54.05	33.11	0.93	-1.94	-- -- 	1	6	9	0.00	0.41	-1.34	-0.62	-1.33	0.42	20241126	19910625	         25.79	--  	--  	525.43	101.48	        113.76	59.04	300.83	116.13	18.06	156.03	81.24	110.50	51.15	6.93	14.89	146.36	106.41	11.89	-0.17	11.96	9.17	3.85	2.38	57.50	5.59	-16.22	171013.00	          8949	8.61万	-43.20	-40.28	          2.45	44.35	1.70	0.46	0.150㈢	          3.93	          0.58	          2.23	          0.22	         19.31	   3.80㈢	         27.29	          8.12	          6.26	6.10	16595	000009	--  	--  	--  	
000010	美丽生态	0.92	3.28	0.03	3.27	3.28	274296	3077	0.31	          5.22	3.27	3.32	3.25	3.25	--  	9000.85	  0.44	园林工程	深圳	2.15	3.28	141880	132416	  1.07	0.00	944	330	--  	-51.18	          1.62	          0.19	100.93	0.00	   0.00	15375.59	93.49	0.62	0.61	--  	          0.06	--  	1.42	--  	--  	          5.26	         17.25亿	         37.71亿	  2.22	   2668	1	-4.41	-4.09	-1.21	4.79	21.04	94.09	0.92	8.25	3.14	9	    4.74亿	          5.79	         15.54亿	          0.34亿	--  	--  	0.86	-1.80	-- -- 	8	10	2	0.62	2.15	0.00	0.92	-1.20	0.92	20241031	19951027	         11.50	--  	--  	30.54	2.19	         -0.16	93.35	22.30	0.08	0.02	28.21	0.10	1.02	15.78	1.31	20.85	3.54	2.95	-0.86	0.00	-0.93	-0.89	-0.59	-0.53	-28.88	-0.17	-0.20	42981.00	         11022	3.62万	63.17	44.10	         17.26	-228.16	10.66	0.00	-0.060㈢	          0.19	          1.81	         -2.51	         -0.01	          7.16	 -27.17㈢	         16.57	        -24.43	        -25.26	--  	145	000010	--  	--  	--  	
000011	深物业A	-0.82	9.66	-0.08	9.66	9.67	70270	407	-0.09	          1.33	9.73	9.80	9.59	9.74	  1205.77	6812.47	  0.55	物业管理	深圳	2.16	9.69	36191	34079	  1.06	0.00	487	6	--  	38.48	          0.94	          0.07	39.32	0.00	   0.00	9353.54	57.80	0.31	0.62	--  	          0.03	--  	1.21	--  	--  	          5.26	         50.86亿	         57.57亿	  0.48	   2321	-2	-2.79	-1.92	1.47	-2.62	3.42	27.44	8.06	0.00	12.98	3	    1.87亿	          3.76	         18.07亿	         -0.48亿	24.57	12.51	0.67	-1.53	MACD死叉	10	8	2	-0.10	0.62	-1.54	-0.51	-1.43	0.73	20241031	19920330	          5.96	          0.68	--  	161.17	44.79	          0.32	72.01	142.51	0.55	0.01	94.00	11.71	117.32	5.73	8.49	0.80	13.18	10.51	-0.00	0.00	-0.04	-0.06	0.04	0.08	36.90	-17.53	-15.70	40688.00	          6258	6.05万	-98.45	-45.71	          1.29	-3.28	4.37	3.20	0.010㈢	          7.51	          0.14	          6.19	         -2.94	         27.79	   0.08㈢	         20.24	         -0.01	         -0.43	0.04	8817	000011	--  	--  	--  	
000012	南 玻Ａ	-1.42	5.56	-0.08	5.55	5.56	247121	762	0.36	          1.26	5.61	5.67	5.53	5.64	    16.28	13820.83	  0.78	玻璃制造	深圳	2.48	5.59	148239	98882	  1.50	0.00	896	819	--  	46.86	          0.80	          0.03	42.37	0.00	   0.00	26879.85	126.64	0.18	0.47	--  	          0.02	--  	0.80	--  	--  	         19.59	        108.94亿	        170.73亿	 -0.12	   2709	-2	-1.74	-1.42	-0.72	-1.24	2.21	13.93	4.91	1.10	4.52	0	   12.91亿	          1.91	         71.76亿	         -2.46亿	17.76	10.46	0.62	-1.42	KDJ死叉	1	10	11	-0.53	0.53	-1.95	-0.89	-1.94	0.54	20241209	19920228	         30.71	         11.09	--  	319.10	140.71	          4.72	54.42	97.05	135.31	23.93	97.49	31.11	19.33	18.18	3.76	5.91	118.37	95.79	8.08	-0.04	8.06	7.73	7.86	7.01	88.25	13.53	-0.04	142015.00	         16900	9.40万	-46.38	-12.19	          1.21	12.62	1.44	4.43	0.260㈢	          4.58	          0.19	          2.87	          0.44	         44.10	   5.59㈢	         19.07	          6.82	          6.53	4.92	14661	000012	--  	--  	--  	
