代码	名称	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
601058	赛轮轮胎	-2.64	16.93	38.91	0.14	29.31	0	   25.72亿	          1.25	        380.17亿	         -0.99亿	11.30	15.75	0.71	1.30	MACD金叉	1	6	12	-0.34	1.22	-0.88	0.20	-1.40	0.68	20241030	20110630	         32.88	--  	--  	385.25	190.43	          6.45	48.89	192.44	135.28	10.32	147.41	56.23	55.11	51.24	2.71	45.53	236.28	169.23	37.01	1.02	36.96	32.99	32.44	31.26	108.48	14.52	2.70	53190.00	         48358	71.47万	60.17	24.28	          2.55	33.46	2.06	2.16	1.010㈢	          5.79	          1.38	          3.30	          0.44	         49.43	  17.03㈢	         28.38	         15.66	         13.96	7.37	18155	601058	--  	--  	--  	
601059	信达证券	-4.66	27.68	-21.07	5.07	-10.89	2	    6.92亿	          5.30	        110.38亿	         11.67亿	39.96	34.49	1.51	2.57	MACD金叉	14	14	9	0.32	3.27	-0.45	1.60	-0.93	2.77	20241031	20230201	         32.43	--  	--  	851.74	203.60	          5.88	75.41	0.00	1.01	1.21	0.00	207.56	0.00	0.00	0.04	40.13	23.50	14.25	9.25	8.14	9.23	9.01	8.85	8.74	72.11	37.20	40.47	66184.00	         10450	16.68万	-18.49	-14.19	          2.82	13.91	22.02	0.53	0.270㈢	          5.66	          1.24	          2.22	          1.15	         23.90	   4.35㈢	         39.35	         39.35	         38.33	--  	2819	601059	--  	--  	--  	
601061	中信金属	-4.81	16.99	4.21	0.51	4.76	2	    5.01亿	          2.12	         39.69亿	          2.94亿	17.49	18.72	0.98	0.13	KDJ死叉	1	2	14	0.00	1.53	0.00	0.76	-0.75	0.76	20241202	20230410	         49.00	--  	--  	501.66	209.93	--  	58.15	297.09	0.01	0.19	240.61	60.33	137.28	22.46	12.52	55.71	950.57	942.08	18.73	17.00	18.81	17.17	17.17	13.08	96.39	-23.64	-2.15	86078.00	          5822	4.61万	9.17	0.29	          1.85	-16.42	0.41	1.91	0.350㈢	          4.28	          1.14	          1.97	         -0.48	         41.85	   8.18㈢	          0.89	          1.97	          1.81	0.25	240	601061	--  	--  	--  	
601065	江盐集团	-0.85	13.26	-19.25	2.31	-16.05	0	    2.33亿	          2.98	         21.70亿	          0.39亿	11.97	12.01	0.88	0.87	平台整理	1	6	11	-0.32	0.76	-0.32	0.43	-0.11	0.98	20241202	20230410	          6.43	--  	--  	56.20	42.57	          0.65	23.10	18.11	25.98	4.83	11.89	12.32	1.38	0.52	1.04	24.03	20.08	12.78	4.26	0.00	4.29	3.71	3.57	3.44	11.20	4.93	-4.55	39586.00	          5889	5.48万	0.49	-9.02	          1.41	12.14	2.98	3.78	0.560㈢	          6.62	          3.74	          1.74	          0.77	         75.75	   8.38㈢	         36.37	         21.22	         18.48	0.73	2238	601065	--  	--  	--  	
601066	中信建投	-5.82	43.97	9.92	1.57	18.32	3	   10.42亿	          1.34	        288.76亿	         -5.43亿	38.19	30.62	1.19	0.14	-- -- 	10	8	2	-0.11	0.76	-0.68	0.00	-1.00	0.44	20241129	20180620	         77.57	--  	         12.61	5547.40	1011.77	          0.47	81.75	0.00	6.50	7.74	0.00	1248.75	0.00	0.00	--  	123.80	143.15	94.43	48.72	34.72	48.39	43.06	42.97	42.64	306.37	181.70	171.52	138934.00	          7503	20.78万	-24.49	-22.13	          2.89	11.83	15.01	1.22	0.450㈢	          9.57	          1.60	          3.95	          2.34	         18.24	   4.25㈢	         34.04	         34.04	         30.08	--  	13288	601066	--  	--  	--  	
601068	中铝国际	-2.95	31.47	7.65	4.01	6.71	5	    2.96亿	          3.64	         14.59亿	          2.69亿	--  	--  	1.13	0.82	-- -- 	1	6	3	0.00	1.86	0.00	1.45	0.00	1.86	20241030	20180831	         29.86	--  	          3.99	416.66	62.20	          2.84	84.39	331.19	23.44	12.29	271.69	41.77	21.55	161.52	43.40	9.13	161.42	147.59	3.44	0.38	3.90	2.97	2.51	1.16	-20.60	-20.88	4.51	41474.00	          7135	3.52万	132.83	7.33	          6.00	-7.05	0.91	0.00	0.040㈢	          0.82	          0.31	         -0.69	         -0.70	         14.93	   4.04㈢	          8.57	          2.13	          1.84	5.21	11947	601068	--  	--  	--  	
601069	西部黄金	5.15	26.49	4.80	4.64	8.46	3	    2.47亿	          5.27	         32.37亿	          2.11亿	--  	--  	0.67	2.11	平台整理	1	14	11	0.39	1.87	0.08	1.17	-0.08	1.71	20241030	20150122	          9.18	--  	--  	70.63	45.18	--  	36.04	27.62	18.56	15.63	8.98	5.75	8.93	6.65	0.45	27.70	50.45	45.38	1.81	-0.15	1.79	1.29	1.29	1.73	6.97	-1.80	-1.45	50144.00	          4935	6.45万	402.50	51.61	          2.66	-66.70	2.38	0.00	0.140㈢	          4.92	          3.02	          0.76	         -0.20	         63.96	   2.85㈢	         10.05	          3.58	          2.55	0.19	1974	601069	--  	--  	--  	
601077	渝农商行	1.79	12.01	49.34	1.24	50.13	0	   60.30亿	          1.45	        343.12亿	         -7.95亿	5.81	6.00	0.56	-1.22	平台整理	1	10	12	-0.35	0.35	-1.74	-1.04	-1.56	0.53	20241030	20191029	        113.57	--  	         25.13	15174.67	1301.62	         19.15	91.30	0.00	41.72	5.94	0.00	743.44	0.00	0.00	--  	203.04	215.14	98.55	116.59	38.03	116.27	105.74	103.08	99.66	556.97	197.95	136.07	186110.00	         32402	18.44万	3.55	-1.76	          0.52	3.26	3.00	8.38	0.890㈢	         10.93	          1.79	          4.90	          1.74	          8.58	   7.92㈢	         54.19	         54.19	         49.15	--  	14592	601077	--  	--  	--  	
601083	锦江航运	-0.78	22.87	-27.44	4.89	-16.46	1	    1.94亿	          7.12	         19.61亿	          3.88亿	16.61	17.08	0.95	2.33	平台整理	12	2	11	0.41	3.16	0.10	2.04	-0.10	2.96	20241031	20231205	         12.94	--  	--  	101.10	82.44	          0.44	18.02	67.58	20.13	0.30	14.40	60.61	0.66	5.50	0.01	34.37	42.64	31.83	9.22	0.11	9.22	7.34	7.19	6.83	32.67	14.53	3.18	59075.00	          3286	3.32万	2.98	7.79	          1.59	8.99	3.07	4.05	0.560㈢	          6.37	          2.66	          2.52	          1.12	         81.54	   8.72㈢	         25.36	         21.63	         17.21	--  	924	601083	--  	--  	--  	
601086	国芳集团	24.58	56.46	15.14	10.43	16.73	11	    1.63亿	         32.70	          9.67亿	          1.93亿	58.01	23.81	1.10	6.08	多头排列	8	8	6	0.18	5.14	-0.53	3.01	0.00	5.70	20241108	20170929	          6.66	--  	--  	26.46	15.45	--  	41.61	10.80	5.37	0.05	7.71	7.54	1.57	0.03	3.73	3.26	5.98	3.23	0.48	0.12	0.47	0.36	0.36	0.57	3.10	0.97	-0.03	28211.00	          5778	3.43万	-72.35	-19.06	          2.56	40.64	6.60	3.17	0.050㈢	          2.32	          0.49	          0.47	          0.15	         58.39	   2.30㈢	         45.98	          8.04	          5.94	--  	868	601086	--  	--  	--  	
601088	中国神华	10.18	16.55	53.18	8.56	49.13	0	   26.78亿	          1.09	       1161.86亿	        166.90亿	14.70	14.16	0.50	1.97	平台整理	14	7	10	0.00	2.02	-0.26	1.18	-0.05	2.24	20241026	20071009	        198.69	--  	         33.77	6493.51	4149.84	        778.69	24.10	2112.77	2514.51	641.45	959.26	1651.32	113.57	130.09	51.61	683.96	2538.99	1683.48	668.51	34.26	662.50	537.88	460.74	460.34	2897.00	835.04	-184.78	140592.00	         19050	82.64万	-4.55	0.57	          2.08	10.32	3.39	5.31	2.320㈢	         20.89	          3.44	         14.58	          4.20	         63.91	  11.10㈢	         33.69	         26.33	         21.18	17.40	82565	601088	--  	--  	--  	
