代码	名称	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000001	平安银行	1.03	22.19	40.65	3.07	39.15	1	   81.60亿	          1.19	        957.23亿	        -11.64亿	4.92	4.93	0.63	0.60	平台整理	10	12	12	0.00	0.34	-0.59	-0.25	-0.85	0.09	20241019	19910403	        194.06	--  	--  	57459.88	4904.69	--  	91.46	0.00	87.53	61.53	0.00	4048.80	0.00	0.00	--  	807.15	1115.82	637.13	478.69	183.72	477.44	397.29	397.29	397.48	2398.99	1371.58	-189.13	517695.00	         15763	18.49万	0.24	-12.58	          0.54	1.66	2.04	8.19	1.940㈢	         21.67	          4.16	         12.36	          7.07	          8.54	   8.10㈢	         42.90	         42.90	         35.61	--  	40830	000001	--  	--  	--  	
000002	万 科Ａ	-4.63	35.79	-19.76	0.58	-17.30	5	   64.74亿	          2.18	        560.01亿	          8.35亿	--  	8.42	0.92	0.93	-- -- 	1	12	13	-0.82	2.10	-0.93	0.70	-1.26	1.76	20241031	19910129	        119.31	--  	         22.07	13571.80	2341.20	       1402.39	72.42	10162.76	205.43	83.76	7508.32	797.45	5793.35	98.07	2497.10	254.71	2198.95	1990.00	-146.67	0.74	-154.40	-163.98	-179.43	-144.68	756.73	-48.48	-196.22	627280.00	         10321	8.93万	-231.73	-24.25	          0.44	-21.29	0.47	0.00	-1.510㈢	         19.62	          2.13	          6.34	         -0.41	         17.25	  -7.66㈢	          9.50	         -6.67	         -7.46	3.69	131097	000002	--  	--  	--  	
000004	国华网安	-6.95	55.38	5.87	0.34	12.90	21	    0.87亿	          4.78	         15.80亿	          0.04亿	--  	--  	0.84	-0.38	-- -- 	10	10	2	-0.33	0.55	-0.72	-0.05	-0.38	0.89	20241204	19910114	          1.32	--  	--  	3.85	1.60	         -0.03	59.25	2.87	0.02	0.13	2.01	0.64	0.02	1.72	0.44	12.32	0.76	0.21	-0.37	0.00	-0.41	-0.37	-0.36	-0.33	-12.18	-0.24	-0.30	43880.00	          1978	3.60万	-1.78	-5.78	         15.09	-101.21	31.76	0.00	-0.270㈢	          1.21	          9.31	         -9.20	         -0.18	         41.54	 -22.43㈢	         72.96	        -48.81	        -49.25	0.23	298	000004	--  	--  	--  	
000006	深振业Ａ	-4.41	117.15	93.63	2.58	98.69	10	    8.51亿	          4.87	         77.57亿	          1.75亿	--  	--  	0.65	0.00	MACD死叉	10	8	6	-0.11	2.89	-1.33	1.45	-1.41	2.82	20241031	19920427	         13.50	--  	--  	208.89	64.49	          3.61	67.40	166.86	0.62	0.00	86.47	26.58	129.41	0.48	21.42	4.84	48.28	44.58	-6.24	0.71	-6.23	-6.32	-5.24	-5.25	24.36	1.08	-12.71	68571.00	         12405	11.31万	-42613.00	482.14	          1.91	113.97	2.55	0.00	-0.390㈢	          4.78	          0.36	          1.80	          0.08	         30.87	  -8.12㈢	          7.66	        -12.93	        -13.10	--  	416	000006	--  	--  	--  	
000007	全新好	-2.51	55.37	52.48	1.66	51.54	12	    2.13亿	          3.52	         15.70亿	          0.66亿	88.03	69.25	0.72	2.07	KDJ死叉	1	10	3	-0.97	2.64	-0.97	1.11	0.00	3.65	20241120	19920413	          3.46	--  	--  	3.32	1.29	          0.11	57.96	2.14	0.46	0.00	1.26	1.13	0.37	0.17	0.02	1.57	1.54	1.25	0.05	0.00	0.04	0.02	0.03	0.04	-3.17	0.21	-0.81	10917.00	         19489	14.38万	-70.72	0.60	         19.84	124.22	16.58	0.00	0.010㈢	          0.37	          0.45	         -0.91	          0.06	         38.81	   2.46㈢	         18.97	          3.56	          1.06	--  	74	000007	--  	--  	--  	
000008	神州高铁	21.40	66.17	37.09	30.04	39.41	10	   16.24亿	         16.15	         53.42亿	          1.90亿	--  	--  	0.78	-5.19	KDJ死叉	6	6	6	-2.48	4.97	-3.73	0.62	-2.66	6.13	20241203	19920507	         27.16	--  	--  	104.20	33.77	          0.82	66.81	46.68	4.70	1.75	62.15	5.86	8.85	20.12	10.63	26.20	10.90	7.76	-2.25	0.50	-1.94	-2.01	-1.80	-2.10	-20.43	-1.23	0.86	91817.00	         17683	5.82万	-23.69	-16.71	          2.65	-72.68	8.20	0.00	-0.070㈢	          1.24	          0.96	         -0.75	         -0.05	         32.41	  -5.33㈢	         28.82	        -20.66	        -18.45	1.01	2160	000008	--  	--  	--  	
000009	中国宝安	-5.16	29.17	-16.01	0.61	-15.21	3	   15.30亿	          1.18	        151.81亿	          1.81亿	54.83	33.58	0.93	0.51	KDJ死叉	10	2	9	-0.20	1.32	-0.41	0.71	-0.60	1.12	20241126	19910625	         25.79	--  	--  	525.43	101.48	        113.76	59.04	300.83	116.13	18.06	156.03	81.24	110.50	51.15	6.93	14.89	146.36	106.41	11.89	-0.17	11.96	9.17	3.85	2.38	57.50	5.59	-16.22	171013.00	          8949	8.88万	-43.20	-40.28	          2.52	45.73	1.75	0.46	0.150㈢	          3.93	          0.58	          2.23	          0.22	         19.31	   3.80㈢	         27.29	          8.12	          6.26	6.10	16595	000009	--  	--  	--  	
000010	美丽生态	13.63	92.13	5.89	12.87	7.55	9	    4.74亿	         16.20	         16.20亿	          0.80亿	--  	--  	0.83	3.01	-- -- 	10	8	2	-0.90	7.46	-1.19	3.58	-5.00	3.32	20241031	19951027	         11.50	--  	--  	30.54	2.19	         -0.16	93.35	22.30	0.08	0.02	28.21	0.10	1.02	15.78	1.31	20.85	3.54	2.95	-0.86	0.00	-0.93	-0.89	-0.59	-0.53	-28.88	-0.17	-0.20	42981.00	         11022	3.77万	63.17	44.10	         18.00	-237.90	11.11	0.00	-0.060㈢	          0.19	          1.81	         -2.51	         -0.01	          7.16	 -27.17㈢	         16.57	        -24.43	        -25.26	--  	145	000010	--  	--  	--  	
000011	深物业A	-5.19	29.95	11.43	1.97	15.20	3	    1.87亿	          6.80	         18.42亿	          0.36亿	24.70	12.57	0.66	0.82	-- -- 	10	8	11	-1.33	1.74	-1.74	0.61	-1.10	2.39	20241031	19920330	          5.96	          0.68	--  	161.17	44.79	          0.32	72.01	142.51	0.55	0.01	94.00	11.71	117.32	5.73	8.49	0.80	13.18	10.51	-0.00	0.00	-0.04	-0.06	0.04	0.08	36.90	-17.53	-15.70	40688.00	          6258	6.16万	-98.45	-45.71	          1.31	-3.35	4.45	3.19	0.010㈢	          7.51	          0.14	          6.19	         -2.94	         27.79	   0.08㈢	         20.24	         -0.01	         -0.43	0.04	8817	000011	--  	--  	--  	
000012	南 玻Ａ	0.53	17.50	4.83	2.55	6.01	0	   12.91亿	          1.67	         72.80亿	          1.23亿	17.63	10.39	0.62	0.53	KDJ死叉	1	10	11	-0.18	1.25	-0.54	0.71	-0.53	1.26	20241209	19920228	         30.71	         11.09	--  	319.10	140.71	          4.72	54.42	97.05	135.31	23.93	97.49	31.11	19.33	18.18	3.76	5.91	118.37	95.79	8.08	-0.04	8.06	7.73	7.86	7.01	88.25	13.53	-0.04	142015.00	         16900	9.53万	-46.38	-12.19	          1.23	12.80	1.46	4.46	0.260㈢	          4.58	          0.19	          2.87	          0.44	         44.10	   5.59㈢	         19.07	          6.82	          6.53	4.92	14661	000012	--  	--  	--  	
000014	沙河股份	5.96	61.65	15.07	2.94	20.30	1	    1.60亿	          6.79	         20.73亿	          0.73亿	41.74	5.88	0.59	0.85	-- -- 	12	8	11	0.00	2.68	-1.42	1.10	-0.31	3.84	20241031	19920602	          2.42	--  	--  	22.36	16.54	          0.51	23.75	18.60	0.20	0.00	5.12	4.18	14.06	0.03	0.28	0.10	3.25	1.64	0.64	0.00	0.63	0.47	0.47	0.47	11.13	-1.03	-1.60	28544.00	          5595	7.26万	-90.53	-73.51	          1.90	-30.61	9.66	1.70	0.190㈢	          6.83	          0.04	          4.60	         -0.42	         73.96	   2.83㈢	         49.42	         19.59	         14.39	--  	113	000014	--  	--  	--  	
000016	深康佳Ａ	-6.39	117.67	34.82	7.75	29.98	21	   10.73亿	          9.52	         58.15亿	          3.37亿	--  	--  	0.88	3.44	-- -- 	1	10	2	-1.14	3.03	-2.27	1.70	-0.37	5.04	20241127	19920327	         24.08	          8.11	--  	325.31	40.43	          2.01	86.95	130.06	50.60	10.30	177.10	40.02	30.25	16.45	5.64	5.02	81.20	76.11	-18.59	0.53	-18.61	-18.65	-16.06	-17.17	-1.08	-3.91	-28.62	180278.00	         10452	5.66万	-124.67	-45.42	          3.23	-33.38	1.61	0.00	-0.670㈢	          1.68	          0.21	         -0.04	         -0.16	         12.43	 -39.73㈢	          6.27	        -22.90	        -22.97	3.12	14106	000016	--  	--  	--  	
000017	深中华A	4.75	33.28	75.00	7.61	72.19	19	    2.39亿	         18.67	         17.94亿	          2.48亿	242.42	274.49	0.85	3.31	KDJ死叉	12	2	1	-0.98	5.61	-1.12	3.93	-0.53	6.24	20241030	19920331	          6.89	          2.48	--  	3.72	3.16	          0.10	12.43	3.63	0.02	0.00	0.46	0.16	1.60	1.71	0.01	7.80	2.79	2.61	0.08	0.00	0.10	0.07	0.07	0.06	-11.85	-0.59	-0.38	59368.00	          8217	6.15万	46.86	-19.81	         16.32	-87.51	18.47	0.00	0.010㈢	          0.46	          1.13	         -1.72	         -0.09	         84.91	   2.35㈢	          6.64	          2.84	          2.48	0.01	69	000017	--  	--  	--  	
000019	深粮控股	4.38	17.00	-0.96	-0.42	-2.46	0	    2.71亿	          4.47	         19.38亿	          2.31亿	25.21	23.06	0.58	1.99	平台整理	12	8	2	0.43	3.16	0.00	2.30	-0.28	2.87	20241203	19921012	         11.53	          0.52	--  	72.21	48.39	          0.04	32.93	40.76	21.07	5.27	22.42	1.53	35.11	1.37	2.50	12.61	38.02	31.39	3.07	0.00	3.07	2.43	2.45	2.27	19.41	5.23	-0.82	44918.00	          7179	5.14万	-10.82	-15.12	          1.71	15.79	2.17	2.87	0.210㈢	          4.20	          1.09	          1.68	          0.45	         67.01	   5.05㈢	         17.45	          8.07	          6.40	0.16	1215	000019	--  	--  	--  	
000020	深华发Ａ	-1.46	19.27	19.95	3.34	14.67	17	    0.62亿	          7.78	          9.19亿	          1.10亿	270.43	306.88	0.72	1.30	KDJ死叉	1	12	2	0.62	3.04	-0.41	2.01	-0.34	3.12	20241026	19920428	          2.83	          1.02	--  	6.59	3.81	--  	42.16	4.21	1.54	0.34	2.76	1.42	0.80	1.71	--  	1.47	6.06	5.34	0.18	0.01	0.18	0.14	0.14	0.13	-1.26	-0.12	-0.14	32037.00	          5115	7.60万	14.45	0.74	         11.03	-346.57	6.94	0.00	0.050㈢	          1.35	          0.52	         -0.44	         -0.04	         57.84	   3.74㈢	         11.99	          2.90	          2.35	0.09	486	000020	--  	--  	--  	
000021	深科技	-8.85	52.67	17.71	-0.79	24.37	5	    9.34亿	          4.10	        186.90亿	         -0.47亿	36.37	48.49	1.04	-0.20	KDJ死叉	1	12	2	-0.70	1.05	-0.90	0.00	-1.19	0.76	20241203	19940202	         15.61	--  	--  	291.54	115.64	         19.73	53.57	167.24	49.81	3.92	132.46	90.31	29.95	36.57	6.47	23.37	108.52	90.50	9.53	0.13	9.68	8.12	6.61	6.17	60.78	19.17	0.06	216066.00	          4325	8.65万	48.12	-1.09	          2.70	16.28	2.88	0.65	0.420㈢	          7.41	          1.50	          3.89	          1.23	         39.66	   5.72㈢	         16.60	          8.78	          7.48	2.56	17241	000021	--  	--  	--  	
000025	特 力Ａ	-1.59	33.87	16.02	-0.06	16.75	5	    1.59亿	          4.93	         29.53亿	          0.69亿	51.91	67.00	0.77	0.22	-- -- 	10	12	2	-0.82	2.01	-0.82	1.03	-1.12	1.70	20241024	19930621	          4.31	          0.38	--  	25.11	16.99	          1.30	27.15	9.98	0.72	0.04	5.69	2.21	0.89	2.63	0.05	4.31	20.67	18.84	1.40	0.19	1.39	1.11	1.08	0.99	7.80	0.41	-0.15	52786.00	          3742	6.94万	46.64	69.38	          4.70	193.57	3.87	0.17	0.250㈢	          3.94	          1.00	          1.81	          0.10	         67.66	   6.36㈢	          8.87	          6.77	          5.39	0.02	151	000025	--  	--  	--  	
000026	飞亚达	6.07	28.24	1.97	6.07	7.48	0	    2.00亿	          5.40	         22.67亿	          1.54亿	16.78	13.36	0.68	2.16	KDJ死叉	8	8	11	-0.18	3.92	-0.46	2.55	-0.44	3.94	20241206	19930603	          4.06	          0.41	--  	41.89	33.71	--  	19.53	31.17	3.40	0.30	7.76	5.38	20.63	3.39	0.20	9.36	30.40	19.10	2.59	0.00	2.60	1.98	1.98	1.91	17.45	3.17	0.33	26962.00	          8913	10.12万	-25.58	-13.82	          1.37	14.51	1.52	3.65	0.480㈢	          8.31	          2.31	          4.30	          0.78	         80.47	   5.86㈢	         37.16	          8.51	          6.50	0.43	4238	000026	--  	--  	--  	
000027	深圳能源	-2.76	22.08	11.50	1.05	6.03	1	   11.88亿	          1.29	         79.50亿	          1.43亿	27.69	15.49	0.83	0.15	KDJ死叉	14	5	10	0.00	0.90	-0.30	0.30	-0.45	0.75	20241126	19930903	         47.57	--  	--  	1635.67	476.27	        100.26	64.75	400.26	631.98	203.76	353.43	92.78	14.83	148.34	12.95	46.59	304.15	237.13	35.64	6.97	35.77	27.41	21.25	20.32	149.44	74.52	16.01	125672.00	          9456	6.33万	-29.79	3.61	          1.06	4.27	1.05	2.10	0.380㈢	          6.33	          0.98	          3.14	          1.57	         29.12	   4.46㈢	         22.03	         11.72	          9.01	1.01	12200	000027	--  	--  	--  	
000028	国药一致	-4.87	19.44	8.20	1.28	6.32	1	    1.66亿	          2.11	         50.05亿	          1.50亿	11.25	10.38	0.70	0.94	-- -- 	10	2	1	0.03	1.48	-0.20	0.97	-0.56	1.11	20241029	19930809	          5.57	          0.71	--  	519.81	181.02	         35.52	58.34	406.78	8.18	5.81	280.93	54.34	83.92	241.33	2.94	42.61	564.66	503.26	13.44	2.55	13.56	10.96	10.66	10.24	129.99	12.81	-7.76	32954.00	          7211	21.71万	-10.43	-0.21	          0.93	13.08	0.30	2.28	1.910㈢	         32.52	          7.66	         23.36	          2.30	         34.82	   5.89㈢	         10.87	          2.38	          1.94	0.19	39449	000028	--  	--  	--  	
000029	深深房Ａ	-4.10	44.66	34.67	2.25	39.37	4	    2.63亿	          1.92	         43.11亿	          2.53亿	--  	--  	0.60	0.12	-- -- 	10	12	8	-0.81	2.85	-0.81	1.55	-1.27	2.37	20241031	19930915	         10.12	          1.20	--  	64.60	37.01	          0.85	41.39	58.67	0.18	0.00	26.09	5.83	40.44	0.89	13.84	9.78	2.08	1.68	0.02	0.01	0.04	0.04	0.05	-0.11	14.06	-1.38	-2.82	54508.00	          7027	11.52万	113.78	-41.23	          4.48	-120.46	79.63	0.00	0.005㈢	          3.66	          0.97	          1.39	         -0.14	         57.30	   0.14㈢	         19.43	          0.79	          2.01	0.39	267	000029	--  	--  	--  	
000030	富奥股份	-0.17	26.82	4.11	4.11	9.63	0	    4.84亿	          3.18	         27.03亿	          0.70亿	14.49	15.97	0.79	0.00	-- -- 	10	2	14	-0.18	1.08	-0.54	0.54	-0.36	1.27	20241206	19930929	         17.42	          0.48	--  	168.66	77.07	         12.66	46.80	82.47	30.19	5.66	65.49	11.68	13.77	34.82	0.27	4.93	115.10	101.48	6.16	3.69	6.18	6.03	4.44	3.74	48.08	-3.62	-7.24	33214.00	         16027	8.94万	16.15	4.83	          1.26	-26.81	0.84	4.46	0.260㈢	          4.43	          0.28	          2.76	         -0.21	         45.69	   5.76㈢	         11.83	          5.35	          5.24	4.11	7978	000030	--  	--  	--  	
000031	大悦城	8.26	48.74	13.83	7.60	19.19	2	   10.33亿	          5.35	         36.58亿	          5.57亿	--  	--  	0.75	4.12	-- -- 	10	8	2	-0.59	7.04	-0.59	4.11	-3.01	4.42	20241031	19931008	         42.86	--  	--  	1908.57	131.45	        319.37	76.38	1369.56	30.55	15.32	875.66	263.37	866.48	6.10	322.68	85.81	204.77	154.85	17.55	13.97	18.73	2.95	-5.87	-16.25	-4.51	32.79	-31.55	101272.00	         10204	3.61万	-16.72	-1.07	          1.15	4.63	0.74	0.00	-0.140㈢	          3.07	          2.00	         -0.11	          0.77	          6.89	  -4.46㈢	         24.38	          8.57	          1.44	0.01	6951	000031	--  	--  	--  	
000032	深桑达Ａ	-11.89	50.08	-12.75	0.85	-10.68	5	    4.04亿	          4.20	         75.98亿	          3.30亿	44.60	63.97	0.97	1.67	-- -- 	10	8	13	-0.16	1.89	-0.32	0.86	-0.32	1.89	20241030	19931028	         11.38	--  	--  	658.05	60.57	         54.17	82.56	546.45	48.66	10.11	454.88	90.96	14.06	127.82	32.18	34.19	484.22	440.00	3.31	1.19	3.40	0.33	-1.27	-3.41	11.75	-23.63	-4.29	62751.00	          6434	12.11万	53.07	25.21	          3.54	-9.06	0.44	0.59	-0.110㈢	          5.32	          3.00	          1.03	         -2.08	          9.21	  -2.09㈢	          9.13	          0.68	          0.07	15.70	23355	000032	--  	--  	--  	
000034	神州数码	-6.46	45.97	10.02	4.36	20.40	2	    4.58亿	          3.91	        162.57亿	          3.88亿	19.23	19.94	0.94	1.69	-- -- 	1	8	6	-0.54	2.55	-0.95	1.26	-0.87	2.63	20241209	19940509	          6.70	--  	--  	449.69	93.29	          7.25	77.64	357.71	7.21	6.03	302.63	47.01	141.35	120.60	34.58	41.97	915.71	874.57	10.79	-0.46	10.90	9.16	8.94	8.61	41.64	21.67	-8.41	79369.00	          5775	20.48万	5.04	8.81	          2.56	10.96	0.26	1.25	1.380㈢	         13.83	          6.27	          6.22	          3.24	         20.74	   9.58㈢	          4.49	          1.18	          1.00	2.50	6174	000034	--  	--  	--  	
000035	中国天楹	-0.92	29.74	7.55	3.64	9.96	2	   15.61亿	          1.59	         84.47亿	          0.00亿	36.06	40.11	0.81	0.00	-- -- 	10	6	12	0.00	1.11	-0.18	0.37	-1.10	0.19	20241031	19940408	         25.01	--  	--  	293.66	109.45	          1.73	62.14	55.22	26.00	148.58	82.91	13.31	4.15	27.51	1.25	81.75	42.70	28.60	5.70	-0.04	5.78	3.83	3.63	3.56	35.52	11.21	0.81	39221.00	         39811	21.54万	11.64	13.71	          1.25	12.07	3.17	0.37	0.150㈢	          4.34	          3.27	          1.42	          0.45	         37.27	   3.32㈢	         33.01	         13.36	          8.98	0.78	19437	000035	--  	--  	--  	
000036	华联控股	-19.19	73.96	23.70	-4.93	28.80	1	   10.62亿	          1.70	         53.21亿	          0.74亿	107.20	90.17	0.70	0.40	-- -- 	10	10	2	-0.40	1.41	-1.01	0.60	-0.40	2.04	20241203	19940617	         14.84	--  	--  	76.94	50.82	          8.70	22.64	50.98	7.20	0.03	11.65	19.22	28.12	0.07	0.23	2.32	3.32	1.88	0.63	0.21	0.65	0.45	0.37	0.13	30.57	-2.48	-0.43	38104.00	         27871	13.96万	-25.72	-19.93	          1.46	-29.95	22.38	0.00	0.030㈢	          3.42	          0.16	          2.06	         -0.17	         66.05	   0.74㈢	         43.29	         19.07	         13.68	--  	703	000036	--  	--  	--  	
000037	深南电A	-6.49	30.88	9.41	-4.52	10.34	6	    2.00亿	          3.09	         18.15亿	          0.18亿	--  	1310.23	0.67	-0.87	空头排列	10	2	14	0.11	1.33	-0.11	0.55	-0.98	0.44	20241025	19940701	          6.03	          2.64	--  	20.34	14.16	         -0.48	32.78	9.88	5.64	0.20	5.85	4.12	0.86	1.27	0.00	3.63	3.71	3.47	-0.50	0.12	-0.50	-0.50	-0.46	-0.56	1.18	-0.81	0.97	50966.00	          9104	8.26万	-58.66	-18.30	          3.86	-67.16	14.74	0.00	-0.080㈢	          2.35	          0.60	          0.20	         -0.14	         69.60	  -3.22㈢	          6.44	        -13.50	        -13.50	0.23	284	000037	--  	--  	--  	
000039	中集集团	-5.77	16.74	4.08	0.37	6.95	0	   20.26亿	          1.24	        165.35亿	          4.85亿	24.81	103.31	0.58	0.87	空头排列	10	2	10	-0.25	1.12	-0.25	0.74	0.00	1.37	20241114	19940408	         53.93	--  	         30.90	1808.54	508.39	        163.68	62.84	1078.80	397.39	59.80	850.03	240.19	206.03	333.98	173.62	43.29	1289.71	1137.02	42.19	0.77	42.85	27.26	18.28	16.92	325.17	16.10	18.31	80898.00	         25049	20.44万	268.87	35.58	          0.94	27.32	0.34	0.12	0.340㈢	          8.67	          0.80	          6.03	          0.30	         28.11	   3.60㈢	         11.84	          3.27	          2.11	18.21	49988	000039	--  	--  	--  	
000042	中洲控股	11.30	57.45	-8.79	7.59	1.22	8	    2.33亿	          8.96	         13.53亿	          2.06亿	--  	--  	0.75	4.50	-- -- 	12	2	9	-0.36	5.82	-0.73	3.45	-0.17	6.41	20241204	19940921	          6.65	--  	--  	308.20	52.17	         -1.80	83.66	255.26	8.83	0.01	153.09	22.17	200.69	3.07	40.83	19.32	38.63	26.33	-3.62	0.10	-4.66	-5.39	-5.19	-4.31	20.65	31.00	13.98	17045.00	         13662	7.94万	-388.99	-11.15	          0.74	1.25	1.00	0.00	-0.780㈢	          7.85	          2.91	          3.11	          4.66	         16.93	  -9.94㈢	         31.84	         -9.36	        -13.95	0.06	2448	000042	--  	--  	--  	
000045	深纺织Ａ	5.58	50.06	9.55	9.08	6.47	8	    2.23亿	          9.58	         27.87亿	          1.11亿	67.92	78.47	0.67	2.97	-- -- 	12	8	2	-1.30	2.69	-1.47	1.47	-0.87	3.31	20241031	19940815	          5.07	          0.50	--  	55.27	29.28	         12.73	23.99	30.75	19.27	0.36	9.06	4.46	8.90	9.34	0.04	19.62	25.22	21.11	1.40	0.06	1.36	1.22	0.79	0.70	2.62	1.67	-0.14	29415.00	          9262	11.58万	18.50	8.83	          2.16	37.84	2.51	0.53	0.160㈢	          5.78	          3.87	          0.52	          0.33	         52.97	   2.69㈢	         16.32	          5.56	          4.84	0.81	1416	000045	--  	--  	--  	
000048	京基智农	4.18	40.93	-6.27	5.22	0.11	0	    2.24亿	          3.14	         40.13亿	         -0.21亿	8.75	5.46	0.76	-2.29	KDJ死叉	8	8	11	0.06	1.33	-1.78	-0.33	-1.54	1.59	20241206	19941101	          5.31	--  	--  	111.15	41.40	          0.55	62.26	29.28	56.12	0.44	55.80	9.06	16.95	1.24	0.49	1.54	45.95	32.43	7.03	0.05	6.76	6.18	6.02	6.13	34.32	6.36	-1.94	14203.00	         15751	28.26万	-52.16	-53.72	          2.30	14.97	2.07	2.07	1.160㈢	          7.80	          0.29	          6.47	          1.20	         37.25	  14.54㈢	         29.43	         15.29	         13.44	0.38	3062	000048	--  	--  	--  	
000049	德赛电池	-7.05	14.41	-7.29	1.42	-6.49	4	    2.10亿	          2.93	         52.25亿	          0.23亿	22.76	17.03	1.00	0.20	-- -- 	10	12	11	-0.44	1.61	-0.68	0.48	-1.34	0.93	20241127	19950320	          3.85	--  	--  	169.58	63.97	          0.54	61.96	113.26	37.20	4.43	76.89	10.70	28.59	55.71	0.05	19.26	149.57	135.25	0.98	0.28	1.00	1.44	2.21	1.74	38.97	-1.01	-25.14	68779.00	          3046	7.60万	-39.00	7.76	          1.50	-94.81	0.64	1.81	0.570㈢	         16.63	          5.01	         10.13	         -0.26	         37.72	   3.46㈢	          9.57	          0.66	          0.97	6.16	10939	000049	--  	--  	--  	
000050	深天马Ａ	-0.42	44.38	-9.53	7.84	-10.80	2	   11.92亿	          2.44	        113.22亿	          3.93亿	--  	--  	0.85	2.04	-- -- 	10	2	9	-0.21	1.93	-0.32	1.07	-0.21	2.04	20241204	19950315	         24.58	--  	--  	802.63	274.72	         17.98	63.53	210.92	458.62	23.70	220.57	68.98	43.03	82.46	3.98	262.35	240.14	208.08	-4.34	-1.89	-4.38	-4.76	-4.73	-13.11	-13.43	45.01	-14.21	81919.00	         14548	13.82万	73.60	-2.78	          0.85	5.19	0.97	0.00	-0.190㈢	         11.18	         10.67	         -0.55	          1.83	         34.23	  -1.72㈢	         13.35	         -1.81	         -1.98	23.12	24376	000050	--  	--  	--  	
000055	方大集团	5.03	32.63	1.86	3.54	-1.12	0	    5.39亿	          2.19	         23.68亿	          0.54亿	29.87	17.09	0.71	0.92	MACD死叉	12	6	9	0.23	2.07	-0.46	1.15	-0.90	1.62	20241029	19960415	         10.74	          3.94	--  	135.52	60.45	          0.48	55.04	63.45	7.42	1.35	55.21	14.51	7.35	10.73	1.90	0.03	32.07	26.28	1.71	-0.03	1.71	1.51	1.50	1.41	48.36	-1.53	-0.48	48064.00	         19423	8.53万	-43.81	-0.31	          0.78	-30.76	1.47	1.84	0.140㈢	          5.63	          0.00	          4.50	         -0.14	         44.61	   2.48㈢	         18.05	          5.32	          4.71	1.27	3154	000055	--  	--  	--  	
000056	皇庭国际	17.12	99.43	-9.12	26.91	-5.67	17	    7.13亿	         27.93	         24.87亿	         -1.82亿	--  	--  	0.86	-10.97	KDJ死叉	8	8	2	-6.32	0.00	-8.24	-4.40	-4.12	4.49	20241029	19960708	         12.10	          2.43	--  	86.46	7.33	         -0.30	91.87	8.77	1.02	0.30	58.74	1.05	0.91	2.34	0.09	17.80	5.23	2.10	-2.68	-0.01	-2.66	-2.68	-2.62	-2.67	-18.90	2.88	-0.73	51394.00	         18597	6.49万	48.84	-48.41	          5.76	14.64	8.08	0.00	-0.230㈢	          0.61	          1.47	         -1.56	          0.24	          8.48	 -35.70㈢	         59.88	        -51.36	        -51.19	0.06	941	000056	--  	--  	--  	
000058	深 赛 格	1.97	20.56	35.86	4.90	37.95	10	    2.89亿	         15.56	         28.42亿	          4.19亿	--  	129.42	0.75	2.39	MACD死叉	5	10	2	-0.95	4.52	-1.58	2.10	-0.91	5.24	20241205	19961226	         12.31	          2.46	--  	50.71	20.07	          4.82	50.92	30.89	3.61	0.20	18.72	8.70	15.72	3.67	0.22	1.66	12.44	9.32	1.08	-0.09	1.00	0.47	0.38	0.41	4.21	0.56	-3.04	82802.00	          6461	6.36万	-72.91	-9.98	          6.04	216.12	9.75	0.32	0.030㈢	          1.63	          0.13	          0.34	          0.05	         39.58	   1.90㈢	         25.02	          8.65	          3.82	0.09	10055	000058	--  	--  	--  	
000059	华锦股份	0.38	39.31	-6.05	0.57	-3.65	1	    8.47亿	          2.11	         44.73亿	          1.28亿	--  	118.31	0.70	0.57	KDJ死叉	10	8	11	-0.77	2.50	-1.15	1.15	-0.94	2.72	20241209	19970130	         15.99	--  	--  	272.54	124.11	          6.42	52.10	144.89	97.26	11.07	60.98	48.99	76.62	1.53	3.10	64.82	245.00	222.63	-19.76	0.02	-19.43	-19.37	-18.89	-19.35	36.52	-34.19	-45.31	46677.00	         18149	9.58万	-381.94	-25.69	          0.68	-2.47	0.34	0.27	-1.180㈢	          7.76	          4.05	          2.28	         -2.14	         45.54	 -15.22㈢	          9.13	         -8.07	         -7.91	1.31	7839	000059	--  	--  	--  	
