代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%	均价	内盘	外盘	内外比	溢价%	买量	卖量	未匹配量	委比%	量涨速%	短换手%	2分钟金额	主力净额	主力净比%	昨成交额	开盘金额	开盘抢筹%	开盘昨比%	开盘昨封比%	开盘换手Z	竞价涨停买	竞价量比	封成比	封单额	流通股(亿)	流通市值	AB股总市值	强弱度%	活跃度	连涨天	昨涨幅%	3日涨幅%	5日涨幅%	10日涨幅%	20日涨幅%	60日涨幅%	一年涨幅%	月初至今%	年初至今%	年涨停天	流通股本Z	换手Z	流通市值Z	市值增减	市盈(TTM)	市盈(静)	贝塔系数	距5日线%	近日指标提示	短期形态	中期形态	长期形态	开盘%	最高%	最低%	均涨幅%	回头波%	攻击波%	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	货币资金(亿)	存货(亿)	应收账款(亿)	合同负债(亿)	资本公积金(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	扣非净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	股息率%	每股收益	每股净资	每股公积	每股未分配	每股现金流	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	研发费用(亿)	员工人数	交易代码	自选日	自选价	自选收益%	
000001	平安银行	0.09	11.67	0.01	11.66	11.67	964063	10396	0.00	          0.50	11.63	11.72	11.59	11.66	     4.28	112344.18	  0.88	股份制银行	深圳	1.11	11.65	485096	478967	  1.01	0.00	1473	3600	--  	-42.34	          0.94	          0.02	1213.21	0.00	   0.00	200427.05	775.95	0.00	0.39	--  	          0.01	--  	2.49	--  	--  	        194.06	       2264.64亿	       2264.67亿	  0.64	   4285	2	1.92	1.83	2.46	4.38	0.61	18.84	36.65	2.55	38.44	1	   81.60亿	          1.18	        952.33亿	          1.94亿	4.86	4.87	0.62	1.13	MACD金叉	10	12	12	-0.26	0.51	-0.60	-0.09	-0.43	0.69	20241019	19910403	        194.06	--  	--  	57459.88	4904.69	--  	91.46	0.00	87.53	61.53	0.00	4048.80	0.00	0.00	--  	807.15	1115.82	637.13	478.69	183.72	477.44	397.29	397.29	397.48	2398.99	1371.58	-189.13	517695.00	         15763	18.40万	0.24	-12.58	          0.54	1.65	2.03	8.28	1.940㈢	         21.67	          4.16	         12.36	          7.07	          8.54	   8.10㈢	         42.90	         42.90	         35.61	--  	40830	000001	--  	--  	--  	
000002	万 科Ａ	-3.00	8.42	-0.26	8.42	8.43	1641659	12556	0.12	          1.69	8.65	8.70	8.38	8.68	--  	139375.37	  1.52	住宅开发	深圳	3.69	8.49	891201	750458	  1.19	0.00	1267	11845	--  	26.79	          0.91	          0.05	1057.23	0.00	   0.00	112361.80	294.27	0.00	0.26	--  	          0.01	--  	0.93	--  	--  	         97.17	        818.17亿	        818.78亿	 -2.44	   4654	-1	1.88	-1.52	-3.00	0.48	-9.47	27.76	-22.40	-2.09	-19.51	5	   64.74亿	          2.54	        545.12亿	        -31.02亿	--  	8.51	0.92	-1.86	-- -- 	4	12	13	-0.35	0.23	-3.46	-2.19	-3.22	0.48	20241031	19910129	        119.31	--  	         22.07	13571.80	2341.20	       1402.39	72.42	10162.76	205.43	83.76	7508.32	797.45	5793.35	98.07	2497.10	254.71	2198.95	1990.00	-146.67	0.74	-154.40	-163.98	-179.43	-144.68	756.73	-48.48	-196.22	627280.00	         10321	8.69万	-231.73	-24.25	          0.43	-20.72	0.46	0.00	-1.510㈢	         19.62	          2.13	          6.34	         -0.41	         17.25	  -7.66㈢	          9.50	         -6.67	         -7.46	3.69	131097	000002	--  	--  	--  	
000004	国华网安	-1.41	18.23	-0.26	18.22	18.23	56127	596	0.16	          4.44	18.40	18.49	17.92	18.49	--  	10209.23	  0.61	基础软件	深圳	3.08	18.19	32007	24120	  1.33	0.00	48	205	--  	-40.70	          1.24	          0.17	108.65	0.00	   0.00	11665.75	85.01	0.00	0.73	--  	          0.05	--  	1.43	--  	--  	          1.26	         23.02亿	         24.13亿	 -0.85	   2859	-1	0.98	-0.33	-0.71	2.47	-10.63	52.55	7.11	0.44	13.02	21	    0.87亿	          6.47	         15.82亿	         -0.34亿	--  	--  	0.84	-1.41	-- -- 	10	10	2	-0.49	0.00	-3.08	-1.62	-1.41	1.73	20241204	19910114	          1.32	--  	--  	3.85	1.60	         -0.03	59.25	2.87	0.02	0.13	2.01	0.64	0.02	1.72	0.44	12.32	0.76	0.21	-0.37	0.00	-0.41	-0.37	-0.36	-0.33	-12.18	-0.24	-0.30	43880.00	          1978	3.61万	-1.78	-5.78	         15.10	-101.32	31.80	0.00	-0.270㈢	          1.21	          9.31	         -9.20	         -0.18	         41.54	 -22.43㈢	         72.96	        -48.81	        -49.25	0.23	298	000004	--  	--  	--  	
000006	深振业Ａ	-5.27	8.99	-0.50	8.98	8.99	570177	4130	-0.10	          4.22	9.40	9.40	8.88	9.49	--  	51624.54	  0.91	住宅开发	深圳	5.48	9.05	332321	237855	  1.40	0.00	1009	1939	--  	-14.01	          0.96	          0.13	371.29	0.00	   0.00	66249.75	466.99	-0.52	0.70	--  	          0.06	--  	1.65	--  	--  	         13.50	        121.36亿	        121.36亿	 -4.72	   3615	-1	5.21	1.12	-3.02	14.38	-5.16	113.54	87.68	1.13	95.86	10	    8.51亿	          6.70	         76.47亿	         -6.75亿	--  	--  	0.65	-1.10	MACD金叉	10	8	6	-0.95	-0.95	-6.43	-4.64	-4.36	1.24	20241031	19920427	         13.50	--  	--  	208.89	64.49	          3.61	67.40	166.86	0.62	0.00	86.47	26.58	129.41	0.48	21.42	4.84	48.28	44.58	-6.24	0.71	-6.23	-6.32	-5.24	-5.25	24.36	1.08	-12.71	68571.00	         12405	11.15万	-42613.00	482.14	          1.88	112.35	2.51	0.00	-0.390㈢	          4.78	          0.36	          1.80	          0.08	         30.87	  -8.12㈢	          7.66	        -12.93	        -13.10	--  	416	000006	--  	--  	--  	
000007	全新好	1.54	7.27	0.11	7.26	7.27	123721	843	0.00	          3.57	7.16	7.46	7.10	7.16	   594.78	9049.79	  1.42	商业物业经营	深圳	5.03	7.31	56748	66973	  0.85	0.00	91	2398	--  	-33.38	          0.87	          0.11	61.29	0.00	   0.00	5314.37	16.04	-0.13	0.30	--  	          0.01	--  	1.64	--  	--  	          3.46	         25.19亿	         25.19亿	  2.09	   1668	1	-0.14	2.54	-0.41	2.98	-4.60	52.41	47.17	0.14	49.28	12	    2.13亿	          5.81	         15.47亿	          0.38亿	87.66	68.96	0.73	1.54	-- -- 	1	8	3	0.00	4.19	-0.84	2.09	-2.55	2.39	20241120	19920413	          3.46	--  	--  	3.32	1.29	          0.11	57.96	2.14	0.46	0.00	1.26	1.13	0.37	0.17	0.02	1.57	1.54	1.25	0.05	0.00	0.04	0.02	0.03	0.04	-3.17	0.21	-0.81	10917.00	         19489	14.17万	-70.72	0.60	         19.54	122.36	16.33	0.00	0.010㈢	          0.37	          0.45	         -0.91	          0.06	         38.81	   2.46㈢	         18.97	          3.56	          1.06	--  	74	000007	--  	--  	--  	
000008	神州高铁	-9.89	3.37	-0.37	--  	3.37	3438722	4576	0.00	         12.80	3.48	3.57	3.37	3.74	--  	116981.22	  1.57	轨交设备	北京	5.35	3.40	1581652	1857070	  0.85	0.00	0	417776	--  	0.00	          0.12	          0.06	154.20	0.00	   0.00	300626.46	5063.24	2.96	1.68	--  	          0.90	--  	1.57	0.12	14079.05	         26.86	         90.52亿	         91.54亿	 -9.34	   4336	-1	0.81	0.00	21.22	37.55	17.83	73.71	36.44	33.21	42.79	10	   16.24亿	         21.18	         54.72亿	        -10.05亿	--  	--  	0.75	-2.32	顶部放量	6	6	6	-6.95	-4.55	-9.89	-9.09	-5.60	0.00	20241203	19920507	         27.16	--  	--  	104.20	33.77	          0.82	66.81	46.68	4.70	1.75	62.15	5.86	8.85	20.12	10.63	26.20	10.90	7.76	-2.25	0.50	-1.94	-2.01	-1.80	-2.10	-20.43	-1.23	0.86	91817.00	         17683	5.96万	-23.69	-16.71	          2.71	-74.45	8.40	0.00	-0.070㈢	          1.24	          0.96	         -0.75	         -0.05	         32.41	  -5.33㈢	         28.82	        -20.66	        -18.45	1.01	2160	000008	--  	--  	--  	
000009	中国宝安	-1.11	9.81	-0.11	9.81	9.82	206115	5710	-0.19	          0.81	9.95	9.96	9.77	9.92	    49.24	20315.06	  0.82	电池化学品	深圳	1.92	9.86	119979	86136	  1.39	0.00	615	133	--  	34.46	          1.69	          0.05	560.09	0.00	   0.00	22321.50	113.53	-0.09	0.51	--  	          0.01	--  	4.86	--  	--  	         25.51	        250.30亿	        253.02亿	 -0.56	   3476	-1	0.61	-0.80	-2.58	4.59	-9.42	25.29	-16.01	-0.51	-16.15	3	   15.30亿	          1.35	        150.13亿	         -2.84亿	55.22	33.82	0.93	-0.91	-- -- 	10	2	9	0.30	0.40	-1.51	-0.60	-1.51	0.41	20241126	19910625	         25.79	--  	--  	525.43	101.48	        113.76	59.04	300.83	116.13	18.06	156.03	81.24	110.50	51.15	6.93	14.89	146.36	106.41	11.89	-0.17	11.96	9.17	3.85	2.38	57.50	5.59	-16.22	171013.00	          8949	8.78万	-43.20	-40.28	          2.49	45.23	1.73	0.45	0.150㈢	          3.93	          0.58	          2.23	          0.22	         19.31	   3.80㈢	         27.29	          8.12	          6.26	6.10	16595	000009	--  	--  	--  	
000010	美丽生态	-0.30	3.32	-0.01	3.32	3.33	694748	3507	0.00	         13.21	3.37	3.41	3.27	3.33	--  	23166.61	  0.99	园林工程	深圳	4.20	3.33	346830	347918	  1.00	0.00	2154	7390	--  	-13.06	          0.70	          0.21	116.43	0.00	   0.00	27463.06	191.08	0.00	0.70	--  	          0.12	--  	1.19	--  	--  	          5.26	         17.46亿	         38.17亿	  0.25	   3464	-1	5.38	8.86	6.07	21.17	5.73	96.45	-1.78	9.57	4.41	9	    4.74亿	         14.66	         15.73亿	         -0.11亿	--  	--  	0.83	3.75	上穿BOLL上轨	12	12	2	1.20	2.40	-1.80	0.00	-2.64	1.53	20241031	19951027	         11.50	--  	--  	30.54	2.19	         -0.16	93.35	22.30	0.08	0.02	28.21	0.10	1.02	15.78	1.31	20.85	3.54	2.95	-0.86	0.00	-0.93	-0.89	-0.59	-0.53	-28.88	-0.17	-0.20	42981.00	         11022	3.66万	63.17	44.10	         17.47	-230.94	10.79	0.00	-0.060㈢	          0.19	          1.81	         -2.51	         -0.01	          7.16	 -27.17㈢	         16.57	        -24.43	        -25.26	--  	145	000010	--  	--  	--  	
000011	深物业A	-3.45	9.52	-0.34	9.51	9.52	110884	518	0.11	          2.11	9.80	9.85	9.45	9.86	  1188.30	10655.72	  0.90	物业管理	深圳	4.06	9.61	66005	44879	  1.47	0.00	268	368	--  	35.23	          0.89	          0.11	49.31	0.00	   0.00	9142.89	26.85	0.00	0.29	--  	          0.01	--  	2.71	--  	--  	          5.26	         50.12亿	         56.74亿	 -2.90	   2168	-1	0.31	-4.03	-4.03	2.36	-4.51	22.37	4.28	-1.45	11.34	3	    1.87亿	          5.93	         17.80亿	         -2.03亿	24.87	12.66	0.66	-3.15	-- -- 	10	8	2	-0.61	-0.10	-4.16	-2.54	-3.35	0.74	20241031	19920330	          5.96	          0.68	--  	161.17	44.79	          0.32	72.01	142.51	0.55	0.01	94.00	11.71	117.32	5.73	8.49	0.80	13.18	10.51	-0.00	0.00	-0.04	-0.06	0.04	0.08	36.90	-17.53	-15.70	40688.00	          6258	5.96万	-98.45	-45.71	          1.27	-3.24	4.31	3.16	0.010㈢	          7.51	          0.14	          6.19	         -2.94	         27.79	   0.08㈢	         20.24	         -0.01	         -0.43	0.04	8817	000011	--  	--  	--  	
000012	南 玻Ａ	-0.53	5.60	-0.03	5.60	5.61	195644	641	0.00	          1.00	5.62	5.65	5.57	5.63	    16.40	10984.94	  0.88	玻璃制造	深圳	1.42	5.61	111058	84586	  1.31	0.00	761	395	--  	-58.51	          0.83	          0.03	35.92	0.00	   0.00	12443.09	92.34	0.00	0.74	--  	          0.01	--  	1.22	--  	--  	         19.59	        109.72亿	        171.96亿	  0.02	   2780	-1	1.26	1.26	-0.53	4.48	-0.35	12.45	5.66	1.81	5.27	0	   12.91亿	          1.52	         72.28亿	         -0.92亿	17.72	10.44	0.63	0.18	平台整理	14	10	11	-0.18	0.36	-1.07	-0.36	-0.88	0.54	20241125	19920228	         30.71	         11.09	--  	319.10	140.71	          4.72	54.42	97.05	135.31	23.93	97.49	31.11	19.33	18.18	3.76	5.91	118.37	95.79	8.08	-0.04	8.06	7.73	7.86	7.01	88.25	13.53	-0.04	142939.00	         16791	9.40万	-46.38	-12.19	          1.22	12.71	1.45	4.44	0.260㈢	          4.58	          0.19	          2.87	          0.44	         44.10	   5.59㈢	         19.07	          6.82	          6.53	4.92	14661	000012	--  	--  	--  	
